date,price
2015/11/19,326.41
2015/11/20,322.39
2015/11/21,327.00
2015/11/22,323.71
2015/11/23,323.00
2015/11/24,321.00
2015/11/25,328.98
2015/11/26,352.57
2015/11/27,358.19
2015/11/28,357.24
2015/11/29,372.24
2015/11/30,376.86
2015/12/1,362.68
2015/12/2,360.00
2015/12/3,361.77
2015/12/4,363.98
2015/12/5,387.99
2015/12/6,387.55
2015/12/7,394.73
2015/12/8,418.94
2015/12/9,418.39
2015/12/10,415.68
2015/12/11,452.95
2015/12/12,436.87
2015/12/13,433.83
2015/12/14,444.01
2015/12/15,464.27
2015/12/16,453.97
2015/12/17,455.50
2015/12/18,463.17
2015/12/19,461.29
2015/12/20,442.22
2015/12/21,436.81
2015/12/22,433.92
2015/12/23,442.43
2015/12/24,455.74
2015/12/25,455.84
2015/12/26,419.41
2015/12/27,424.72
2015/12/28,421.94
2015/12/29,433.89
2015/12/30,427.95
2015/12/31,430.35
2016/1/1,435.66
2016/1/2,435.40
2016/1/3,431.91
2016/1/4,433.85
2016/1/5,433.34
2016/1/6,430.87
2016/1/7,459.07
2016/1/8,454.44
2016/1/9,450.38
2016/1/10,449.99
2016/1/11,449.19
2016/1/12,434.01
2016/1/13,432.77
2016/1/14,430.03
2016/1/15,357.53
2016/1/16,388.70
2016/1/17,378.46
2016/1/18,384.89
2016/1/19,375.27
2016/1/20,418.54
2016/1/21,409.38
2016/1/22,382.90
2016/1/23,387.50
2016/1/24,403.05
2016/1/25,391.40
2016/1/26,391.54
2016/1/27,394.79
2016/1/28,379.61
2016/1/29,378.68
2016/1/30,378.46
2016/1/31,367.95
2016/2/1,371.33
2016/2/2,372.93
2016/2/3,368.87
2016/2/4,387.99
2016/2/5,384.50
2016/2/6,375.44
2016/2/7,377.49
2016/2/8,371.14
2016/2/9,372.68
2016/2/10,378.44
2016/2/11,378.23
2016/2/12,382.05
2016/2/13,391.00
2016/2/14,406.59
2016/2/15,398.95
2016/2/16,407.42
2016/2/17,415.20
2016/2/18,421.19
2016/2/19,420.72
2016/2/20,437.46
2016/2/21,438.56
2016/2/22,437.55
2016/2/23,419.97
2016/2/24,423.94
2016/2/25,423.54
2016/2/26,430.85
2016/2/27,433.12
2016/2/28,433.73
2016/2/29,436.44
2016/3/1,433.08
2016/3/2,420.39
2016/3/3,418.80
2016/3/4,407.35
2016/3/5,396.08
2016/3/6,403.24
2016/3/7,412.21
2016/3/8,411.18
2016/3/9,412.80
2016/3/10,415.98
2016/3/11,419.39
2016/3/12,410.58
2016/3/13,412.52
2016/3/14,415.02
2016/3/15,415.41
2016/3/16,416.07
2016/3/17,418.41
2016/3/18,409.65
2016/3/19,410.20
2016/3/20,411.27
2016/3/21,412.00
2016/3/22,416.66
2016/3/23,417.53
2016/3/24,412.95
2016/3/25,416.41
2016/3/26,416.97
2016/3/27,425.30
2016/3/28,423.00
2016/3/29,416.39
2016/3/30,412.79
2016/3/31,416.03
2016/4/1,417.68
2016/4/2,419.95
2016/4/3,420.16
2016/4/4,419.47
2016/4/5,422.36
2016/4/6,421.46
2016/4/7,421.99
2016/4/8,419.48
2016/4/9,419.46
2016/4/10,423.40
2016/4/11,423.94
2016/4/12,427.80
2016/4/13,425.58
2016/4/14,426.32
2016/4/15,430.93
2016/4/16,433.39
2016/4/17,431.00
2016/4/18,430.97
2016/4/19,437.06
2016/4/20,442.96
2016/4/21,452.25
2016/4/22,448.41
2016/4/23,455.69
2016/4/24,464.46
2016/4/25,466.17
2016/4/26,470.59
2016/4/27,445.31
2016/4/28,451.68
2016/4/29,458.82
2016/4/30,454.02
2016/5/1,456.98
2016/5/2,446.42
2016/5/3,452.21
2016/5/4,448.68
2016/5/5,449.98
2016/5/6,462.31
2016/5/7,461.91
2016/5/8,462.79
2016/5/9,464.16
2016/5/10,452.78
2016/5/11,454.37
2016/5/12,456.48
2016/5/13,457.98
2016/5/14,458.90
2016/5/15,461.47
2016/5/16,455.66
2016/5/17,454.19
2016/5/18,455.56
2016/5/19,438.38
2016/5/20,445.65
2016/5/21,446.28
2016/5/22,442.48
2016/5/23,445.67
2016/5/24,446.99
2016/5/25,451.49
2016/5/26,454.97
2016/5/27,471.27
2016/5/28,523.25
2016/5/29,525.22
2016/5/30,532.55
2016/5/31,531.34
2016/6/1,534.84
2016/6/2,537.87
2016/6/3,571.25
2016/6/4,576.31
2016/6/5,575.17
2016/6/6,586.77
2016/6/7,579.71
2016/6/8,583.21
2016/6/9,577.46
2016/6/10,580.31
2016/6/11,609.50
2016/6/12,677.86
2016/6/13,706.01
2016/6/14,684.95
2016/6/15,698.78
2016/6/16,769.76
2016/6/17,752.26
2016/6/18,758.99
2016/6/19,768.76
2016/6/20,703.12
2016/6/21,667.66
2016/6/22,604.50
2016/6/23,631.10
2016/6/24,669.98
2016/6/25,673.71
2016/6/26,638.56
2016/6/27,657.87
2016/6/28,648.43
2016/6/29,639.42
2016/6/30,673.49
2016/7/1,678.19
2016/7/2,704.95
2016/7/3,663.55
2016/7/4,681.98
2016/7/5,669.87
2016/7/6,678.79
2016/7/7,641.97
2016/7/8,667.33
2016/7/9,657.61
2016/7/10,652.44
2016/7/11,650.97
2016/7/12,666.56
2016/7/13,655.34
2016/7/14,661.65
2016/7/15,667.48
2016/7/16,666.32
2016/7/17,680.00
2016/7/18,675.50
2016/7/19,673.98
2016/7/20,666.92
2016/7/21,667.28
2016/7/22,654.67
2016/7/23,657.50
2016/7/24,661.00
2016/7/25,657.79
2016/7/26,654.06
2016/7/27,657.35
2016/7/28,657.40
2016/7/29,657.00
2016/7/30,655.87
2016/7/31,626.97
2016/8/1,605.20
2016/8/2,537.47
2016/8/3,573.36
2016/8/4,587.50
2016/8/5,583.00
2016/8/6,591.71
2016/8/7,595.14
2016/8/8,591.48
2016/8/9,586.45
2016/8/10,594.94
2016/8/11,587.91
2016/8/12,587.74
2016/8/13,586.45
2016/8/14,574.99
2016/8/15,567.79
2016/8/16,579.02
2016/8/17,574.45
2016/8/18,574.09
2016/8/19,573.67
2016/8/20,581.87
2016/8/21,581.29
2016/8/22,585.20
2016/8/23,582.39
2016/8/24,578.47
2016/8/25,575.58
2016/8/26,579.29
2016/8/27,570.84
2016/8/28,575.41
2016/8/29,573.21
2016/8/30,574.95
2016/8/31,572.89
2016/9/1,573.02
2016/9/2,576.21
2016/9/3,600.91
2016/9/4,611.92
2016/9/5,605.69
2016/9/6,612.99
2016/9/7,615.21
2016/9/8,627.97
2016/9/9,622.07
2016/9/10,623.74
2016/9/11,607.94
2016/9/12,606.74
2016/9/13,608.63
2016/9/14,608.43
2016/9/15,605.44
2016/9/16,607.93
2016/9/17,607.92
2016/9/18,611.40
2016/9/19,608.60
2016/9/20,605.60
2016/9/21,597.00
2016/9/22,596.21
2016/9/23,602.96
2016/9/24,603.68
2016/9/25,601.67
2016/9/26,607.08
2016/9/27,605.71
2016/9/28,605.04
2016/9/29,605.99
2016/9/30,608.99
2016/10/1,615.65
2016/10/2,612.40
2016/10/3,612.99
2016/10/4,610.34
2016/10/5,613.16
2016/10/6,611.88
2016/10/7,617.98
2016/10/8,619.50
2016/10/9,617.42
2016/10/10,618.72
2016/10/11,642.12
2016/10/12,635.79
2016/10/13,635.66
2016/10/14,638.03
2016/10/15,638.16
2016/10/16,641.92
2016/10/17,639.56
2016/10/18,635.11
2016/10/19,629.79
2016/10/20,628.05
2016/10/21,630.83
2016/10/22,652.75
2016/10/23,651.04
2016/10/24,649.98
2016/10/25,654.30
2016/10/26,674.00
2016/10/27,691.21
2016/10/28,689.95
