date, price
1997/5/15,1.96 
1997/5/16,1.73 
1997/5/19,1.71 
1997/5/20,1.64 
1997/5/21,1.43 
1997/5/22,1.40 
1997/5/23,1.50 
1997/5/27,1.58 
1997/5/28,1.53 
1997/5/29,1.51 
1997/5/30,1.50 
1997/6/2,1.51 
1997/6/3,1.48 
1997/6/4,1.42 
1997/6/5,1.54 
1997/6/6,1.66 
1997/6/9,1.69 
1997/6/10,1.58 
1997/6/11,1.54 
1997/6/12,1.60 
1997/6/13,1.58 
1997/6/16,1.57 
1997/6/17,1.51 
1997/6/18,1.51 
1997/6/19,1.51 
1997/6/20,1.53 
1997/6/23,1.50 
1997/6/24,1.51 
1997/6/25,1.51 
1997/6/26,1.51 
1997/6/27,1.49 
1997/6/30,1.54 
1997/7/1,1.52 
1997/7/2,1.59 
1997/7/3,1.91 
1997/7/7,2.00 
1997/7/8,2.30 
1997/7/9,2.32 
1997/7/10,2.56 
1997/7/11,2.29 
1997/7/14,2.14 
1997/7/15,2.44 
1997/7/16,2.33 
1997/7/17,2.22 
1997/7/18,2.16 
1997/7/21,2.18 
1997/7/22,2.14 
1997/7/23,2.29 
1997/7/24,2.26 
1997/7/25,2.23 
1997/7/28,2.32 
1997/7/29,2.48 
1997/7/30,2.45 
1997/7/31,2.40 
1997/8/1,2.42 
1997/8/4,2.31 
1997/8/5,2.21 
1997/8/6,2.25 
1997/8/7,2.18 
1997/8/8,2.29 
1997/8/11,2.33 
1997/8/12,2.20 
1997/8/13,2.20 
1997/8/14,2.16 
1997/8/15,2.11 
1997/8/18,2.04 
1997/8/19,2.17 
1997/8/20,2.17 
1997/8/21,2.11 
1997/8/22,2.12 
1997/8/25,2.22 
1997/8/26,2.34 
1997/8/27,2.32 
1997/8/28,2.37 
1997/8/29,2.34 
1997/9/2,2.35 
1997/9/3,2.33 
1997/9/4,2.55 
1997/9/5,2.50 
1997/9/8,3.00 
1997/9/9,3.24 
1997/9/10,3.30 
1997/9/11,3.16 
1997/9/12,3.69 
1997/9/15,3.09 
1997/9/16,3.35 
1997/9/17,3.41 
1997/9/18,3.29 
1997/9/19,3.95 
1997/9/22,4.50 
