date, price
1983/3/31,29.27
1983/4/4,29.44
1983/4/5,29.71
1983/4/6,29.9
1983/4/7,30.17
1983/4/8,30.38
1983/4/11,30.25
1983/4/12,30.83
1983/4/13,30.82
1983/4/14,30.82
1983/4/15,30.48
1983/4/18,30.75
1983/4/19,30.75
1983/4/20,30.7
1983/4/21,30.68
1983/4/22,30.75
1983/4/25,30.84
1983/4/26,30.71
1983/4/27,30.78
1983/4/28,30.74
1983/4/29,30.63
1983/5/2,30.61
1983/5/3,30.5
1983/5/4,30.42
1983/5/5,30.2
1983/5/6,30.12
1983/5/9,30.1
1983/5/10,30.31
1983/5/11,29.97
1983/5/12,29.72
1983/5/13,29.8
1983/5/16,30.12
1983/5/17,29.91
1983/5/18,29.75
1983/5/19,29.95
1983/5/20,30.3
1983/5/23,30.27
1983/5/24,30.05
1983/5/25,30.25
1983/5/26,30.31
1983/5/27,30.19
1983/5/31,30.25
1983/6/1,30.33
1983/6/2,30.4
1983/6/3,30.36
1983/6/6,30.35
1983/6/7,30.58
1983/6/8,30.6
1983/6/9,30.49
1983/6/10,30.77
1983/6/13,31
1983/6/14,31
1983/6/15,31.3
1983/6/16,31.6
1983/6/17,31.4
1983/6/20,31.42
1983/6/21,31.18
1983/6/22,30.95
1983/6/23,31.1
1983/6/24,31.2
1983/6/27,31.2
1983/6/28,31.24
1983/6/29,31.2
1983/6/30,31.38
1983/7/1,31.35
1983/7/5,31.27
1983/7/6,31.2
1983/7/7,31.4
1983/7/8,31.4
1983/7/11,31.64
1983/7/12,31.72
1983/7/13,31.87
1983/7/14,31.85
1983/7/15,31.7
1983/7/18,31.7
1983/7/19,31.62
1983/7/20,31.65
1983/7/21,31.53
1983/7/22,31.46
1983/7/25,31.4
1983/7/26,31.53
1983/7/27,31.73
1983/7/28,31.82
1983/7/29,32
1983/8/1,32.12
1983/8/2,32.2
1983/8/3,32.2
1983/8/4,32.14
1983/8/5,32.15
1983/8/8,32.05
1983/8/9,31.94
1983/8/10,32.14
1983/8/11,31.95
1983/8/12,31.99
1983/8/15,32
1983/8/16,31.98
1983/8/17,31.87
1983/8/18,31.72
1983/8/19,31.65
1983/8/22,31.53
1983/8/23,31.65
1983/8/24,31.57
1983/8/25,31.73
1983/8/26,31.8
1983/8/29,31.66
1983/8/30,31.68
1983/8/31,31.59
1983/9/1,31.6
1983/9/2,31.57
1983/9/6,31.36
1983/9/7,31.38
1983/9/8,31.34
1983/9/9,31.21
1983/9/12,31.15
1983/9/13,31.23
1983/9/14,31.4
1983/9/15,31.48
1983/9/16,31.55
1983/9/19,31.48
1983/9/20,31.33
1983/9/21,31.39
1983/9/22,31.3
1983/9/23,31.3
1983/9/26,31.22
1983/9/27,31.11
1983/9/28,30.76
1983/9/29,30.6
1983/9/30,30.36
1983/10/3,29.92
1983/10/4,30.18
1983/10/5,30.2
1983/10/6,30.26
1983/10/7,30.47
1983/10/10,30.85
1983/10/11,30.57
1983/10/12,30.52
1983/10/13,30.66
1983/10/14,30.55
1983/10/17,30.61
1983/10/18,30.68
1983/10/19,30.32
1983/10/20,30.3
1983/10/21,30.33
1983/10/24,30.44
1983/10/25,30.43
1983/10/26,30.23
1983/10/27,30.31
1983/10/28,30.26
1983/10/31,30.37
1983/11/1,30.38
1983/11/2,30.35
1983/11/3,30.42
1983/11/4,30.46
1983/11/7,30.39
1983/11/8,30.38
1983/11/9,30.38
1983/11/10,30.26
1983/11/11,30.14
1983/11/14,30.15
1983/11/15,30.17
1983/11/16,29.95
1983/11/17,28.98
1983/11/18,29.19
1983/11/21,29.14
1983/11/22,29.04
1983/11/23,29.19
1983/11/28,29.69
1983/11/29,29.39
1983/11/30,29.23
1983/12/1,29.28
1983/12/2,29.38
1983/12/5,29.3
1983/12/6,29.29
1983/12/7,29.06
1983/12/8,29.27
1983/12/9,29.31
1983/12/12,29.27
1983/12/13,29.21
1983/12/14,29.28
1983/12/15,29.11
1983/12/16,28.57
1983/12/19,28.38
1983/12/20,28.76
1983/12/21,28.88
1983/12/22,29.08
1983/12/23,29.44
