date, price
2019/01/29,52.49
2019/01/29,52.59
2019/01/29,52.58
2019/01/29,52.57
2019/01/29,52.5
2019/01/29,52.49
2019/01/29,52.44
2019/01/29,52.51
2019/01/29,52.58
2019/01/29,52.58
2019/01/29,53.04
2019/01/29,53.55
2019/01/29,53.79
2019/01/29,53.42
2019/01/30,53.46
2019/01/30,53.51
2019/01/30,53.44
2019/01/30,53.51
2019/01/30,53.38
2019/01/30,53.48
2019/01/30,53.35
2019/01/30,53.17
2019/01/30,53.25
2019/01/30,53.25
2019/01/30,53.27
2019/01/30,53.35
2019/01/30,53.42
2019/01/30,53.42
2019/01/30,53.28
2019/01/30,53.33
2019/01/30,53.31
2019/01/30,53.39
2019/01/30,53.35
2019/01/30,53.36
2019/01/30,53.57
2019/01/30,53.59
2019/01/30,53.65
2019/01/30,53.64
2019/01/30,53.57
2019/01/30,53.49
2019/01/30,53.59
2019/01/30,53.4
2019/01/30,53.34
2019/01/30,53.39
2019/01/30,53.39
2019/01/30,53.5
2019/01/30,53.38
2019/01/30,53.49
2019/01/30,53.68
2019/01/30,53.84
2019/01/30,53.83
2019/01/30,53.92
2019/01/30,53.9
2019/01/30,54
2019/01/30,53.9
2019/01/30,53.93
2019/01/30,54.11
2019/01/30,53.97
2019/01/30,53.96
2019/01/30,54.55
2019/01/31,54.55
2019/01/31,54.93
2019/01/31,54.91
2019/01/31,54.8
2019/01/31,54.66
2019/01/31,54.49
2019/01/31,54.34
2019/01/31,54.37
2019/01/31,54.3
2019/01/31,54.38
2019/01/31,54.35
2019/01/31,54.33
2019/01/31,54.48
2019/01/31,54.58
2019/01/31,54.53
2019/01/31,54.52
2019/01/31,54.66
2019/01/31,54.7
2019/01/31,54.66
2019/01/31,54.7
2019/01/31,54.67
2019/01/31,54.77
2019/01/31,54.73
2019/01/31,54.7
2019/01/31,54.66
2019/01/31,54.71
2019/01/31,54.68
2019/01/31,54.69
2019/01/31,54.6
2019/01/31,54.57
2019/01/31,54.58
2019/01/31,54.44
2019/01/31,54.33
2019/01/31,54.31
2019/01/31,54.23
2019/01/31,54.21
2019/01/31,54.21
2019/01/31,54.37
2019/01/31,54.48
2019/01/31,54.27
2019/01/31,54.39
2019/01/31,54.51
2019/01/31,54.8
2019/01/31,55.14
2019/01/31,55.16
2019/01/31,55.29
2019/02/01,55.31
2019/02/01,55.29
2019/02/01,55
2019/02/01,54.43
2019/02/01,53.89
2019/02/01,53.85
2019/02/01,53.93
2019/02/01,53.96
2019/02/01,54
2019/02/01,54.1
2019/02/01,54.07
2019/02/01,54.11
2019/02/01,54.06
2019/02/01,54
2019/02/01,54.01
2019/02/01,54.12
2019/02/01,54.24
2019/02/01,53.82
2019/02/01,53.83
2019/02/01,53.82
2019/02/01,53.87
2019/02/01,53.83
2019/02/01,54.02
2019/02/01,53.94
2019/02/01,54
2019/02/01,53.85
2019/02/01,53.9
2019/02/01,53.84
2019/02/01,53.92
2019/02/01,53.96
2019/02/01,53.8
2019/02/01,53.65
2019/02/01,53.68
2019/02/01,53.66
2019/02/01,53.83
2019/02/01,53.92
2019/02/01,53.94
2019/02/01,53.91
2019/02/01,53.88
2019/02/01,53.86
2019/02/01,53.62
2019/02/01,54.12
2019/02/01,54.34
2019/02/01,54.42
2019/02/01,54.51
2019/02/01,54.7
2019/02/02,54.79
2019/02/02,54.79
2019/02/02,55.07
2019/02/02,55.09
2019/02/02,55.51
2019/02/02,55.42
2019/02/02,55.42
2019/02/02,55.45
2019/02/02,55.46
2019/02/02,55.49
2019/02/02,55.47
2019/02/04,55.35
2019/02/04,55.37
2019/02/04,55.51
2019/02/04,55.37
2019/02/04,55.21
2019/02/04,55.34
2019/02/04,55.57
2019/02/04,55.5
2019/02/04,55.38
2019/02/04,55.34
2019/02/04,55.45
2019/02/04,55.38
2019/02/04,55.34
2019/02/04,55.29
2019/02/04,55.35
2019/02/04,55.39
2019/02/04,55.42
2019/02/04,55.66
2019/02/04,55.53
2019/02/04,55.53
2019/02/04,55.55
2019/02/04,55.71
2019/02/04,55.74
2019/02/04,55.49
2019/02/04,55.5
2019/02/04,55.31
2019/02/04,55.22
2019/02/04,55.03
2019/02/04,54.93
2019/02/04,54.72
2019/02/04,54.34
2019/02/04,54.38
2019/02/04,54.04
2019/02/04,53.92
2019/02/05,54.38
2019/02/05,54.38
2019/02/05,54.42
2019/02/05,54.65
2019/02/05,54.6
2019/02/05,54.61
2019/02/05,54.76
2019/02/05,54.96
2019/02/05,54.93
2019/02/05,54.9
2019/02/05,54.91
2019/02/05,54.98
2019/02/05,55
2019/02/05,54.92
2019/02/05,54.9
2019/02/05,54.85
2019/02/05,54.86
2019/02/05,55
2019/02/05,54.93
2019/02/05,54.98
2019/02/05,55.02
2019/02/05,55
2019/02/05,55.03
2019/02/05,55.05
2019/02/05,54.98
2019/02/05,54.94
2019/02/05,55.01
2019/02/05,54.92
2019/02/05,54.94
2019/02/05,54.86
2019/02/05,54.74
2019/02/05,54.6
2019/02/05,55.12
2019/02/05,55.22
2019/02/05,55.32
2019/02/05,55.32
2019/02/05,55.02
2019/02/05,54.9
2019/02/05,54.53
2019/02/05,54.4
2019/02/05,54.06
2019/02/05,54.39
2019/02/05,53.84
2019/02/05,54.39
2019/02/05,54.42
2019/02/05,54.66
2019/02/06,53.96
2019/02/06,54.16
2019/02/06,54.02
2019/02/06,53.8
2019/02/06,54
2019/02/06,53.96
2019/02/06,53.87
2019/02/06,53.86
2019/02/06,53.94
2019/02/06,53.87
2019/02/06,53.87
2019/02/06,53.89
2019/02/06,53.98
2019/02/06,53.99
2019/02/06,54.02
2019/02/06,53.9
2019/02/06,53.97
2019/02/06,53.95
2019/02/06,53.95
2019/02/06,53.92
2019/02/06,53.94
2019/02/06,53.83
2019/02/06,53.86
2019/02/06,53.92
2019/02/06,53.9
2019/02/06,53.94
2019/02/06,53.89
2019/02/06,53.83
2019/02/06,53.68
2019/02/06,53.59
2019/02/06,53.69
2019/02/06,53.38
2019/02/06,53.35
2019/02/06,53.28
2019/02/06,53.51
2019/02/06,53.58
2019/02/06,53.4
2019/02/06,53.72
2019/02/06,53.8
2019/02/06,53.75
2019/02/06,53.98
2019/02/06,53.53
2019/02/06,53.43
2019/02/06,53.14
2019/02/06,54.28
2019/02/07,54.29
2019/02/07,54.29
2019/02/07,54.18
2019/02/07,54.25
2019/02/07,54.14
2019/02/07,54.27
2019/02/07,54.16
2019/02/07,54.1
2019/02/07,54.21
2019/02/07,54.16
2019/02/07,54.19
2019/02/07,54.12
2019/02/07,54.2
2019/02/07,54.16
2019/02/07,54.07
2019/02/07,54.06
2019/02/07,53.96
2019/02/07,54.03
2019/02/07,54.01
2019/02/07,54.07
2019/02/07,54.1
2019/02/07,54.12
2019/02/07,54.11
2019/02/07,54.08
2019/02/07,54.06
2019/02/07,54.04
2019/02/07,53.99
2019/02/07,53.99
2019/02/07,53.93
2019/02/07,53.8
2019/02/07,53.99
2019/02/07,54.11
2019/02/07,54.05
2019/02/07,54.36
2019/02/07,54.12
2019/02/07,53.98
2019/02/07,53.89
2019/02/07,53.73
2019/02/07,53.83
2019/02/07,53.59
2019/02/07,53.47
2019/02/07,53.68
2019/02/07,53.8
2019/02/07,53.51
2019/02/07,53.47
2019/02/07,52.96
2019/02/08,52.62
2019/02/08,52.13
2019/02/08,52.37
2019/02/08,52.28
2019/02/08,52.53
2019/02/08,52.56
2019/02/08,52.9
2019/02/08,52.93
2019/02/08,52.91
2019/02/08,52.89
2019/02/08,52.83
2019/02/08,52.81
2019/02/08,52.79
2019/02/08,52.75
2019/02/08,52.87
2019/02/08,52.84
2019/02/08,52.74
2019/02/08,52.56
2019/02/08,52.57
2019/02/08,52.62
2019/02/08,52.5
2019/02/08,52.43
2019/02/08,52.45
2019/02/08,52.5
2019/02/08,52.5
2019/02/08,52.55
2019/02/08,52.5
2019/02/08,52.47
2019/02/08,52.47
2019/02/08,52.51
2019/02/08,52.64
2019/02/08,52.7
2019/02/08,52.65
2019/02/08,52.85
2019/02/08,52.91
2019/02/08,52.81
2019/02/08,52.72
2019/02/08,52.52
2019/02/08,52.69
2019/02/08,52.6
2019/02/08,53.03
2019/02/08,53.11
2019/02/08,53.1
2019/02/08,52.82
2019/02/08,52.85
2019/02/08,53
2019/02/09,52.86
2019/02/09,52.85
2019/02/09,52.83
2019/02/09,52.82
2019/02/09,52.96
2019/02/09,52.97
2019/02/09,53.01
2019/02/09,52.97
2019/02/09,52.92
2019/02/09,52.97
2019/02/09,52.95
2019/02/09,52.95
2019/02/11,52.82
2019/02/11,52.77
2019/02/11,52.7
2019/02/11,52.69
2019/02/11,52.34
2019/02/11,52.28
2019/02/11,52.31
2019/02/11,52.44
2019/02/11,52.4
2019/02/11,52.37
2019/02/11,52.29
2019/02/11,52.32
2019/02/11,52.31
2019/02/11,52.3
2019/02/11,52.52
2019/02/11,52.56
2019/02/11,52.46
2019/02/11,52.44
2019/02/11,52.58
2019/02/11,52.61
2019/02/11,52.62
2019/02/11,52.79
2019/02/11,52.78
2019/02/11,52.57
2019/02/11,52.6
2019/02/11,52.56
2019/02/11,52.54
2019/02/11,52.7
2019/02/11,52.74
2019/02/11,52.55
2019/02/11,51.88
2019/02/11,51.76
2019/02/11,51.9
2019/02/11,51.85
2019/02/12,51.93
2019/02/12,51.95
2019/02/12,52.24
2019/02/12,52.34
2019/02/12,52.51
2019/02/12,52.61
2019/02/12,52.7
2019/02/12,52.65
2019/02/12,52.63
2019/02/12,52.66
2019/02/12,52.67
2019/02/12,52.72
2019/02/12,52.61
2019/02/12,52.73
2019/02/12,52.84
2019/02/12,52.83
2019/02/12,52.79
2019/02/12,52.85
2019/02/12,52.87
2019/02/12,53.14
2019/02/12,53.08
2019/02/12,53.08
2019/02/12,53.05
2019/02/12,53.07
2019/02/12,53.02
2019/02/12,52.95
2019/02/12,52.9
2019/02/12,52.9
2019/02/12,52.96
2019/02/12,52.93
2019/02/12,53.06
2019/02/12,53.03
2019/02/12,53.16
2019/02/12,53.08
2019/02/12,53.28
2019/02/12,53.38
2019/02/12,53.58
2019/02/12,53.73
2019/02/12,53.68
2019/02/12,53.73
2019/02/12,53.92
2019/02/12,53.89
2019/02/12,54.2
2019/02/12,53.99
2019/02/12,53.6
2019/02/12,53.68
2019/02/13,53.54
2019/02/13,54.07
2019/02/13,53.75
2019/02/13,53.83
2019/02/13,53.87
2019/02/13,53.76
2019/02/13,53.44
2019/02/13,53.47
2019/02/13,53.41
2019/02/13,53.39
2019/02/13,53.35
2019/02/13,53.67
2019/02/13,53.78
2019/02/13,53.81
2019/02/13,53.8
2019/02/13,53.77
2019/02/13,53.98
2019/02/13,54.01
2019/02/13,53.88
2019/02/13,53.92
2019/02/13,53.98
2019/02/13,54.02
2019/02/13,53.96
2019/02/13,53.97
2019/02/13,53.98
2019/02/13,53.88
2019/02/13,53.98
2019/02/13,53.98
2019/02/13,53.9
2019/02/13,53.9
2019/02/13,53.87
2019/02/13,53.83
2019/02/13,53.82
2019/02/13,53.84
2019/02/13,53.8
2019/02/13,53.79
2019/02/13,54.01
2019/02/13,54.05
2019/02/13,54.09
2019/02/13,54.04
2019/02/13,53.94
2019/02/13,53.98
2019/02/13,54
2019/02/13,54.02
2019/02/13,54.07
2019/02/13,54.1
2019/02/13,54.18
2019/02/13,54.02
2019/02/13,53.87
2019/02/13,53.88
2019/02/13,53.81
2019/02/13,53.79
2019/02/13,53.72
2019/02/13,53.79
2019/02/13,54.02
2019/02/13,53.97
2019/02/13,54.09
2019/02/13,54.37
2019/02/13,54.28
2019/02/13,54.5
2019/02/13,54.56
2019/02/13,54.35
2019/02/13,54.47
2019/02/14,54.56
2019/02/14,54.52
2019/02/14,54.34
2019/02/14,54.66
2019/02/14,54.63
2019/02/14,54.57
2019/02/14,54.52
2019/02/14,54.56
2019/02/14,54.42
2019/02/14,54.36
2019/02/14,54.39
2019/02/14,54.32
2019/02/14,54.3
2019/02/14,54.23
2019/02/14,54.27
2019/02/14,54.28
2019/02/14,54.3
2019/02/14,54.37
2019/02/14,54.37
2019/02/14,54.31
2019/02/14,54.33
2019/02/14,54.38
2019/02/14,54.35
2019/02/14,54.31
2019/02/14,54.32
2019/02/14,54.32
2019/02/14,54.34
2019/02/14,54.36
2019/02/14,54.43
2019/02/14,54.35
2019/02/14,54.39
2019/02/14,54.41
2019/02/14,54.53
2019/02/14,54.55
2019/02/14,54.58
2019/02/14,54.5
2019/02/14,54.47
2019/02/14,54.45
2019/02/14,54.41
2019/02/14,54.36
2019/02/14,54.42
2019/02/14,54.43
2019/02/14,54.44
2019/02/14,54.54
2019/02/14,54.53
2019/02/14,54.51
2019/02/14,54.54
2019/02/14,54.53
2019/02/14,54.54
2019/02/14,54.57
2019/02/14,54.62
2019/02/14,54.66
2019/02/14,54.66
2019/02/14,54.73
2019/02/14,54.78
2019/02/14,54.8
2019/02/14,54.71
2019/02/14,54.78
2019/02/14,54.75
2019/02/14,54.9
2019/02/14,54.87
2019/02/14,54.95
2019/02/14,54.89
2019/02/14,54.89
2019/02/14,55.01
2019/02/14,54.97
2019/02/14,54.94
2019/02/14,54.75
2019/02/14,54.78
2019/02/14,54.65
2019/02/14,54.68
2019/02/14,54.74
2019/02/14,54.86
2019/02/14,54.82
2019/02/14,54.86
2019/02/14,54.78
2019/02/14,54.77
2019/02/14,54.77
2019/02/14,54.76
2019/02/14,54.71
2019/02/14,54.78
2019/02/14,54.61
2019/02/14,54.36
2019/02/14,54.49
2019/02/14,54.01
2019/02/14,53.95
2019/02/14,53.76
2019/02/14,54.03
2019/02/14,53.83
2019/02/14,53.92
2019/02/14,54.12
2019/02/14,54.21
2019/02/15,54.44
2019/02/15,54.25
2019/02/15,54.25
2019/02/15,54.55
2019/02/15,54.6
2019/02/15,54.63
2019/02/15,54.71
2019/02/15,54.77
2019/02/15,54.74
2019/02/15,54.83
2019/02/15,54.81
2019/02/15,54.85
2019/02/15,54.62
2019/02/15,54.75
2019/02/15,54.87
2019/02/15,54.86
2019/02/15,54.86
2019/02/15,54.85
2019/02/15,54.91
2019/02/15,54.89
2019/02/15,54.86
2019/02/15,54.9
2019/02/15,54.87
2019/02/15,54.83
2019/02/15,54.83
2019/02/15,54.89
2019/02/15,54.93
2019/02/15,54.96
2019/02/15,55.2
2019/02/15,55.25
2019/02/15,55.19
2019/02/15,55.12
2019/02/15,55.17
2019/02/15,55.22
2019/02/15,55.13
2019/02/15,55.03
2019/02/15,55.08
2019/02/15,55.07
2019/02/15,54.99
2019/02/15,54.95
2019/02/15,54.95
2019/02/15,55.03
2019/02/15,55.02
2019/02/15,55.02
2019/02/15,55.1
2019/02/15,55.12
2019/02/15,55.1
2019/02/15,55.08
2019/02/15,55.04
2019/02/15,55.04
2019/02/15,54.96
2019/02/15,54.97
2019/02/15,54.91
2019/02/15,54.94
2019/02/15,54.89
2019/02/15,54.97
2019/02/15,54.96
2019/02/15,54.96
2019/02/15,54.84
2019/02/15,54.88
2019/02/15,54.85
2019/02/15,54.88
2019/02/15,54.91
2019/02/15,54.79
2019/02/15,54.74
2019/02/15,54.76
2019/02/15,54.9
2019/02/15,54.96
2019/02/15,54.93
2019/02/15,54.75
2019/02/15,54.85
2019/02/15,55.03
2019/02/15,55.11
2019/02/15,55.1
2019/02/15,55.04
2019/02/15,54.85
2019/02/15,55.04
2019/02/15,55.04
2019/02/15,55.14
2019/02/15,55.31
2019/02/15,55.24
2019/02/15,55.19
2019/02/15,55.29
2019/02/15,55.46
2019/02/15,55.73
2019/02/15,55.65
2019/02/15,55.88
2019/02/15,55.66
2019/02/15,55.67
2019/02/15,55.56
2019/02/15,55.6
2019/02/15,55.67
2019/02/16,55.71
2019/02/16,55.86
2019/02/16,55.79
2019/02/16,56.05
2019/02/16,55.98
2019/02/16,56.02
2019/02/16,56.01
2019/02/16,55.9
2019/02/16,55.59
2019/02/16,55.61
2019/02/16,55.69
2019/02/16,55.73
2019/02/16,55.72
2019/02/16,56
2019/02/16,56.08
2019/02/16,56.11
2019/02/16,56.08
2019/02/16,56.07
2019/02/16,56.15
2019/02/16,56.12
2019/02/16,56.15
2019/02/16,56.14
2019/02/18,56.28
2019/02/18,56.24
2019/02/18,56.28
2019/02/18,56.32
2019/02/18,56.29
2019/02/18,56.3
2019/02/18,56.23
2019/02/18,56.26
2019/02/18,56.43
2019/02/18,56.28
2019/02/18,56.33
2019/02/18,56.32
2019/02/18,56.14
2019/02/18,56.21
2019/02/18,56.23
2019/02/18,56.24
2019/02/18,56.28
2019/02/18,56.2
2019/02/18,56.22
2019/02/18,56.17
2019/02/18,56.19
2019/02/18,56.2
2019/02/18,56.24
2019/02/18,56.23
2019/02/18,56.24
2019/02/18,56.23
2019/02/18,56.24
2019/02/18,56.29
2019/02/18,56.32
2019/02/18,56.3
2019/02/18,56.41
2019/02/18,56.45
2019/02/18,56.43
2019/02/18,56.44
2019/02/18,56.46
2019/02/18,56.44
2019/02/18,56.42
2019/02/18,56.59
2019/02/18,56.61
2019/02/18,56.57
2019/02/18,56.53
2019/02/18,56.34
2019/02/18,56.31
2019/02/18,56.24
2019/02/18,56.28
2019/02/18,56.22
2019/02/18,56.32
2019/02/18,56.36
2019/02/18,56.37
2019/02/18,56.26
2019/02/18,56.22
2019/02/18,56.22
2019/02/18,56.28
2019/02/18,56.41
2019/02/18,56.38
2019/02/18,56.37
2019/02/18,56.52
2019/02/18,56.55
2019/02/18,56.51
2019/02/18,56.55
2019/02/18,56.58
2019/02/18,56.31
2019/02/18,56.41
2019/02/18,56.42
2019/02/18,56.45
2019/02/18,56.46
2019/02/18,56.41
2019/02/18,56.36
2019/02/19,56.29
2019/02/19,56.34
2019/02/19,56.38
2019/02/19,56.29
2019/02/19,56.36
2019/02/19,56.38
2019/02/19,56.35
2019/02/19,56.35
2019/02/19,56.37
2019/02/19,56.38
2019/02/19,56.31
2019/02/19,56.29
2019/02/19,56.26
2019/02/19,56.32
2019/02/19,56.24
2019/02/19,56.27
2019/02/19,56.16
2019/02/19,56.14
2019/02/19,56.16
2019/02/19,56.15
2019/02/19,56.15
2019/02/19,56.12
2019/02/19,56.14
2019/02/19,56.18
2019/02/19,56.14
2019/02/19,56.13
2019/02/19,56.15
2019/02/19,56.2
2019/02/19,56.2
2019/02/19,56.17
2019/02/19,56.19
2019/02/19,56.18
2019/02/19,56.16
2019/02/19,56.21
2019/02/19,56.24
