date,price
2006/1/2,13.72
2006/1/3,13.90
2006/1/4,13.99
2006/1/5,14.29
2006/1/6,14.20
2006/1/9,14.35
2006/1/10,14.32
2006/1/11,14.50
2006/1/12,14.65
2006/1/13,14.50
2006/1/16,14.35
2006/1/17,14.29
2006/1/18,14.05
2006/1/19,14.05
2006/1/20,13.93
2006/1/23,13.84
2006/1/24,13.81
2006/1/25,13.93
2006/2/3,14.32
2006/2/6,14.83
2006/2/7,14.65
2006/2/8,14.44
2006/2/9,14.32
2006/2/10,14.83
2006/2/13,14.89
2006/2/14,14.86
2006/2/15,14.77
2006/2/16,14.86
2006/2/17,14.92
2006/2/20,14.95
2006/2/21,15.19
2006/2/22,14.83
2006/2/23,14.95
2006/2/24,14.95
2006/2/27,15.04
2006/3/1,15.01
2006/3/2,14.95
2006/3/3,14.83
2006/3/6,14.89
2006/3/7,14.29
2006/3/8,14.29
2006/3/9,14.35
2006/3/10,14.14
2006/3/13,14.17
2006/3/14,13.81
2006/3/15,13.96
2006/3/16,13.70
2006/3/17,13.70
2006/3/20,13.67
2006/3/21,13.67
2006/3/22,13.58
2006/3/23,13.58
2006/3/24,13.70
2006/3/27,13.90
2006/3/28,13.75
2006/3/29,13.70
2006/3/30,13.93
2006/3/31,13.87
2006/4/3,13.99
2006/4/4,13.96
2006/4/6,14.11
2006/4/7,14.32
2006/4/10,14.29
2006/4/11,14.20
2006/4/12,14.29
2006/4/13,14.47
2006/4/14,14.65
2006/4/17,14.65
2006/4/18,14.53
2006/4/19,14.47
2006/4/20,14.47
2006/4/21,14.38
2006/4/24,14.47
2006/4/25,14.59
2006/4/26,14.77
2006/4/27,15.01
2006/4/28,15.16
2006/5/2,14.89
2006/5/3,14.95
2006/5/4,15.55
2006/5/5,15.25
2006/5/8,15.64
2006/5/9,15.37
2006/5/10,15.28
2006/5/11,15.46
2006/5/12,15.37
2006/5/15,14.89
2006/5/16,14.68
2006/5/17,15.04
2006/5/18,14.04
2006/5/19,14.13
2006/5/22,14.50
2006/5/23,14.35
2006/5/24,14.53
2006/5/25,14.35
2006/5/26,14.38
2006/5/29,13.73
2006/5/30,14.35
2006/6/1,14.11
