date,price
2006/1/2,38.09 
2006/1/3,38.04 
2006/1/4,38.18 
2006/1/5,37.94 
2006/1/6,38.14 
2006/1/9,37.94 
2006/1/10,37.82 
2006/1/11,37.91 
2006/1/12,37.92 
2006/1/13,37.84 
2006/1/16,37.98 
2006/1/17,38.04 
2006/1/18,38.15 
2006/1/19,38.06 
2006/1/20,38.03 
2006/1/23,38.36 
2006/1/24,38.49 
2006/1/25,38.43 
2006/1/26,38.45 
2006/1/27,38.27 
2006/2/3,37.98 
2006/2/6,37.76 
2006/2/7,37.85 
2006/2/8,37.95 
2006/2/9,38.10 
2006/2/10,37.88 
2006/2/13,37.75 
2006/2/14,37.70 
2006/2/15,37.77 
2006/2/16,37.75 
2006/2/17,37.75 
2006/2/20,37.96 
2006/2/21,37.93 
2006/2/22,38.11 
2006/2/23,37.98 
2006/2/24,37.94 
2006/2/27,37.72 
2006/3/1,37.76 
2006/3/2,37.76 
2006/3/3,38.18 
2006/3/6,38.43 
2006/3/7,38.12 
2006/3/8,37.99 
2006/3/9,38.07 
2006/3/10,37.98 
2006/3/13,38.10 
2006/3/14,38.06 
2006/3/15,38.19 
2006/3/16,38.30 
2006/3/17,38.62 
2006/3/20,38.73 
2006/3/21,38.66 
2006/3/22,38.56 
2006/3/23,38.53 
2006/3/24,38.33 
2006/3/27,38.44 
2006/3/28,38.37 
2006/3/29,38.30 
2006/3/30,38.46 
2006/3/31,38.63 
2006/4/3,38.44 
2006/4/4,38.73 
2006/4/6,38.97 
2006/4/7,38.60 
2006/4/10,38.50 
2006/4/11,38.59 
2006/4/12,38.73 
2006/4/13,38.62 
2006/4/14,38.53 
2006/4/17,38.76 
2006/4/18,38.95 
2006/4/19,39.24 
2006/4/20,39.15 
2006/4/21,38.93 
2006/4/24,38.86 
2006/4/25,38.85 
2006/4/26,38.97 
2006/4/27,38.91 
2006/4/28,39.24 
2006/5/2,39.27 
2006/5/3,39.16 
2006/5/4,39.14 
2006/5/5,39.36 
2006/5/8,39.21 
2006/5/9,39.08 
2006/5/10,39.29 
2006/5/11,39.14 
2006/5/12,39.66 
2006/5/15,39.93 
2006/5/16,40.00 
2006/5/17,39.92 
2006/5/18,39.86 
2006/5/19,40.03 
2006/5/22,40.08 
2006/5/23,40.19 
2006/5/24,40.25 
2006/5/25,40.17 
2006/5/26,40.19 
2006/5/29,40.05 
2006/5/30,40.35 
2006/6/1,40.21 
2006/6/2,40.27 
2006/6/5,40.71 
2006/6/6,40.57 
2006/6/7,40.40 
2006/6/8,40.64 
2006/6/9,40.25 
2006/6/12,40.24 
2006/6/13,40.26 
2006/6/14,40.23 
2006/6/15,40.21 
2006/6/16,40.26 
2006/6/19,40.22 
2006/6/20,40.24 
2006/6/21,40.36 
2006/6/22,40.42 
2006/6/23,40.30 
2006/6/26,40.32 
2006/6/27,40.36 
2006/6/28,40.19 
2006/6/29,40.11 
2006/6/30,40.25 
2006/7/3,40.45 
2006/7/4,40.49 
2006/7/5,40.49 
2006/7/6,40.51 
2006/7/7,40.57 
2006/7/10,40.57 
2006/7/11,40.47 
2006/7/12,40.60 
2006/7/13,40.62 
2006/7/14,40.58 
2006/7/17,40.65 
2006/7/18,40.39 
2006/7/19,40.30 
2006/7/20,40.42 
2006/7/21,40.64 
2006/7/24,40.64 
2006/7/25,40.74 
2006/7/26,40.48 
2006/7/27,40.89 
2006/7/28,40.80 
2006/7/31,40.93 
2006/8/1,40.95 
2006/8/2,41.30 
2006/8/3,41.12 
2006/8/4,41.22 
2006/8/7,41.38 
2006/8/8,41.31 
2006/8/9,41.26 
2006/8/10,41.08 
2006/8/11,40.91 
2006/8/14,40.88 
2006/8/15,40.89 
2006/8/16,41.04 
2006/8/17,41.16 
2006/8/18,41.07 
2006/8/21,41.33 
2006/8/22,41.33 
2006/8/23,41.21 
2006/8/24,41.12 
2006/8/25,41.11 
2006/8/28,41.32 
2006/8/29,41.32 
2006/8/30,41.37 
2006/8/31,41.44 
2006/9/1,41.27 
2006/9/4,41.26 
2006/9/5,41.18 
2006/9/6,41.27 
2006/9/7,41.27 
2006/9/8,40.99 
2006/9/11,40.95 
2006/9/12,41.03 
2006/9/13,40.92 
2006/9/14,40.92 
2006/9/15,41.02 
2006/9/18,40.93 
2006/9/19,40.92 
2006/9/20,40.89 
2006/9/21,41.04 
2006/9/22,41.35 
2006/9/25,41.27 
2006/9/26,41.14 
2006/9/27,40.98 
2006/9/28,41.12 
2006/9/29,41.11 
2006/10/2,41.12 
2006/10/3,41.34 
2006/10/4,41.28 
2006/10/5,41.24 
2006/10/11,40.93 
2006/10/12,40.91 
2006/10/13,40.80 
2006/10/14,40.71 
2006/10/16,40.74 
2006/10/17,40.77 
2006/10/18,40.81 
2006/10/19,40.85 
2006/10/20,41.08 
2006/10/23,41.07 
2006/10/24,40.92 
2006/10/25,41.03 
2006/10/26,41.26 
2006/10/27,41.35 
2006/10/30,41.41 
2006/10/31,41.36 
2006/11/1,41.46 
2006/11/2,41.28 
2006/11/3,41.24 
2006/11/6,41.05 
2006/11/7,41.06 
2006/11/8,41.13 
2006/11/9,41.14 
2006/11/10,41.37 
2006/11/13,41.28 
2006/11/14,41.15 
2006/11/15,41.21 
2006/11/16,41.27 
2006/11/17,41.28 
2006/11/20,41.42 
2006/11/21,41.34 
2006/11/22,41.39 
2006/11/23,41.58 
2006/11/24,41.72 
2006/11/27,42.09 
2006/11/28,42.08 
2006/11/29,42.04 
2006/11/30,41.94 
2006/12/1,42.27 
2006/12/4,42.43 
2006/12/5,42.36 
2006/12/6,42.31 
2006/12/7,42.33 
2006/12/8,42.33 
2006/12/11,42.19 
2006/12/12,42.38 
2006/12/13,42.45 
2006/12/14,42.40 
2006/12/15,42.18 
2006/12/18,42.01 
2006/12/19,42.17 
2006/12/20,42.38 
2006/12/21,42.26 
2006/12/22,42.30 
