date, price
1997/5/15,2.5
1997/5/16,1.98
1997/5/19,1.77
1997/5/20,1.75
1997/5/21,1.65
1997/5/22,1.45
1997/5/23,1.52
1997/5/27,1.65
1997/5/28,1.64
1997/5/29,1.54
1997/5/30,1.51
1997/6/2,1.53
1997/6/3,1.53
1997/6/4,1.49
1997/6/5,1.54
1997/6/6,1.71
1997/6/9,1.71
1997/6/10,1.71
1997/6/11,1.6
1997/6/12,1.65
1997/6/13,1.62
1997/6/16,1.6
1997/6/17,1.6
1997/6/18,1.54
1997/6/19,1.53
1997/6/20,1.55
1997/6/23,1.54
1997/6/24,1.53
1997/6/25,1.53
1997/6/26,1.52
1997/6/27,1.52
1997/6/30,1.6
1997/7/1,1.54
1997/7/2,1.59
1997/7/3,1.92
1997/7/7,2.02
1997/7/8,2.33
1997/7/9,2.39
1997/7/10,2.57
1997/7/11,2.52
1997/7/14,2.33
1997/7/15,2.48
1997/7/16,2.49
1997/7/17,2.34
1997/7/18,2.22
1997/7/21,2.2
1997/7/22,2.19
1997/7/23,2.33
1997/7/24,2.31
1997/7/25,2.25
1997/7/28,2.4
1997/7/29,2.5
1997/7/30,2.51
1997/7/31,2.44
1997/8/1,2.42
1997/8/4,2.41
1997/8/5,2.33
1997/8/6,2.31
1997/8/7,2.26
1997/8/8,2.3
1997/8/11,2.33
1997/8/12,2.3
1997/8/13,2.23
1997/8/14,2.25
1997/8/15,2.16
1997/8/18,2.05
1997/8/19,2.21
1997/8/20,2.19
1997/8/21,2.17
1997/8/22,2.12
1997/8/25,2.26
1997/8/26,2.35
1997/8/27,2.32
1997/8/28,2.4
1997/8/29,2.37
1997/9/2,2.37
1997/9/3,2.42
1997/9/4,2.55
1997/9/5,2.67
1997/9/8,3.02
1997/9/9,3.39
1997/9/10,3.33
1997/9/11,3.33
1997/9/12,3.7
1997/9/15,3.68
1997/9/16,3.54
1997/9/17,3.5
1997/9/18,3.47
1997/9/19,4.08
1997/9/22,4.68
1997/9/23,4.65
1997/9/24,4.81
1997/9/25,4.35
1997/9/26,4.26
1997/9/29,4.19
1997/9/30,4.35
1997/10/1,4.5
1997/10/2,4.18
1997/10/3,4.12
1997/10/6,4.12
1997/10/7,4.19
1997/10/8,4.17
1997/10/9,4.02
1997/10/10,4.06
1997/10/13,4.04
1997/10/14,4.1
1997/10/15,3.97
1997/10/16,3.98
1997/10/17,3.66
1997/10/20,3.87
1997/10/21,4.44
1997/10/22,4.62
1997/10/23,4.56
1997/10/24,5.06
1997/10/27,5.01
1997/10/28,5
1997/10/29,5.5
1997/10/30,5.35
1997/10/31,5.46
1997/11/3,5.22
1997/11/4,5.05
1997/11/5,5.12
1997/11/6,4.92
1997/11/7,4.64
1997/11/10,4.56
1997/11/11,4.31
1997/11/12,4.19
1997/11/13,3.97
1997/11/14,4.21
1997/11/17,4.54
1997/11/18,4.48
1997/11/19,4.52
1997/11/20,4.6
1997/11/21,4.58
1997/11/24,4.42
1997/11/25,4.33
1997/11/26,4.41
1997/11/28,4.33
1997/12/1,4.37
1997/12/2,4.3
1997/12/3,4.37
1997/12/4,4.55
1997/12/5,4.59
1997/12/8,4.77
1997/12/9,4.77
1997/12/10,4.62
1997/12/11,4.83
1997/12/12,4.8
1997/12/15,4.67
1997/12/16,4.65
1997/12/17,4.46
1997/12/18,4.43
1997/12/19,4.52
1997/12/22,4.78
1997/12/23,4.74
1997/12/24,4.71
1997/12/26,4.65
1997/12/29,4.78
1997/12/30,4.91
1997/12/31,5.04
1998/1/2,5
1998/1/5,4.94
1998/1/6,4.87
1998/1/7,4.83
1998/1/8,4.7
1998/1/9,4.67
1998/1/12,4.39
1998/1/13,4.67
1998/1/14,4.87
1998/1/15,5.01
1998/1/16,4.98
1998/1/20,5.01
1998/1/21,5.17
1998/1/22,5.27
1998/1/23,5.34
1998/1/26,4.99
1998/1/27,4.86
1998/1/28,4.83
1998/1/29,4.99
1998/1/30,5.06
1998/2/2,5.21
1998/2/3,5.25
1998/2/4,5.19
1998/2/5,5.11
1998/2/6,5.02
1998/2/9,4.96
1998/2/10,5.32
1998/2/11,5.46
1998/2/12,5.3
1998/2/13,5.27
1998/2/17,5.22
1998/2/18,5.15
1998/2/19,5.29
1998/2/20,5.29
1998/2/23,5.42
1998/2/24,5.68
1998/2/25,5.54
1998/2/26,6.08
1998/2/27,6.64
1998/3/2,6.56
1998/3/3,6.31
1998/3/4,6.19
1998/3/5,6.52
1998/3/6,6.42
1998/3/9,7.15
1998/3/10,7.35
1998/3/11,6.87
1998/3/12,6.76
1998/3/13,6.74
1998/3/16,6.73
1998/3/17,6.69
1998/3/18,7.15
1998/3/19,7.29
1998/3/20,7.07
1998/3/23,7.06
1998/3/24,7.23
1998/3/25,7.15
1998/3/26,6.98
1998/3/27,7.26
1998/3/30,7.29
1998/3/31,7.21
1998/4/1,7.53
1998/4/2,8.06
1998/4/3,8.03
1998/4/6,7.9
1998/4/7,7.27
1998/4/8,7.48
1998/4/9,8
1998/4/13,8.02
1998/4/14,8.32
1998/4/15,8.33
1998/4/16,8.28
1998/4/17,8.1
1998/4/20,8.29
1998/4/21,7.95
1998/4/22,7.8
1998/4/23,7.25
1998/4/24,7.31
1998/4/27,7.05
1998/4/28,8.29
1998/4/29,8.22
1998/4/30,8.17
1998/5/1,7.93
1998/5/4,7.99
