date, price
1980/3/17,0.80 
1980/3/18,0.81 
1980/3/19,0.82 
1980/3/20,0.83 
1980/3/21,0.83 
1980/3/24,0.83 
1980/3/25,0.82 
1980/3/26,0.82 
1980/3/27,0.81 
1980/3/28,0.83 
1980/3/31,0.83 
1980/4/1,0.84 
1980/4/2,0.85 
1980/4/3,0.90 
1980/4/7,0.90 
1980/4/8,0.88 
1980/4/9,0.88 
1980/4/10,0.89 
1980/4/11,0.90 
1980/4/14,0.89 
1980/4/15,0.89 
1980/4/16,0.90 
1980/4/17,0.89 
1980/4/18,0.89 
1980/4/21,0.89 
1980/4/22,0.90 
1980/4/23,0.90 
1980/4/24,0.90 
1980/4/25,0.91 
1980/4/28,0.91 
1980/4/29,0.92 
1980/4/30,0.91 
1980/5/1,0.93 
1980/5/2,0.93 
1980/5/5,0.93 
1980/5/6,0.94 
1980/5/7,0.93 
1980/5/8,0.94 
1980/5/9,0.93 
1980/5/12,0.94 
1980/5/13,0.95 
1980/5/14,0.95 
1980/5/15,0.95 
1980/5/16,0.95 
1980/5/19,0.94 
1980/5/20,0.94 
1980/5/21,0.95 
1980/5/22,0.96 
1980/5/23,0.97 
1980/5/27,0.95 
1980/5/28,0.95 
1980/5/29,0.96 
1980/5/30,0.95 
1980/6/2,0.95 
1980/6/3,0.94 
1980/6/4,0.94 
1980/6/5,0.95 
1980/6/6,0.96 
1980/6/9,0.95 
1980/6/10,0.94 
1980/6/11,0.94 
1980/6/12,0.95 
1980/6/13,0.93 
1980/6/16,0.94 
1980/6/17,0.94 
1980/6/18,0.94 
1980/6/19,0.93 
1980/6/20,0.89 
1980/6/23,0.91 
1980/6/24,0.92 
1980/6/25,0.95 
1980/6/26,0.95 
1980/6/27,0.94 
1980/6/30,0.94 
1980/7/1,0.95 
1980/7/2,0.95 
1980/7/3,0.96 
1980/7/7,1.00 
1980/7/8,1.04 
1980/7/9,1.04 
1980/7/10,1.02 
1980/7/11,1.01 
1980/7/14,1.02 
1980/7/15,1.06 
1980/7/16,1.06 
1980/7/17,1.07 
1980/7/18,1.08 
1980/7/21,1.10 
1980/7/22,1.08 
1980/7/23,1.08 
1980/7/24,1.08 
1980/7/25,1.08 
1980/7/28,1.09 
1980/7/29,1.08 
1980/7/30,1.09 
1980/7/31,1.08 
1980/8/1,1.08 
1980/8/4,1.09 
1980/8/5,1.14 
1980/8/6,1.15 
1980/8/7,1.18 
1980/8/8,1.17 
1980/8/11,1.14 
1980/8/12,1.13 
1980/8/13,1.12 
1980/8/14,1.13 
1980/8/15,1.14 
1980/8/18,1.13 
1980/8/19,1.13 
1980/8/20,1.14 
1980/8/21,1.15 
1980/8/22,1.20 
1980/8/25,1.22 
1980/8/26,1.20 
1980/8/27,1.20 
1980/8/28,1.20 
1980/8/29,1.19 
1980/9/2,1.19 
1980/9/3,1.21 
1980/9/4,1.21 
1980/9/5,1.22 
1980/9/8,1.22 
1980/9/9,1.21 
1980/9/10,1.21 
1980/9/11,1.20 
1980/9/12,1.17 
1980/9/15,1.17 
1980/9/16,1.18 
1980/9/17,1.18 
1980/9/18,1.19 
1980/9/19,1.19 
1980/9/22,1.21 
1980/9/23,1.23 
1980/9/24,1.22 
1980/9/25,1.25 
1980/9/26,1.19 
1980/9/29,1.15 
1980/9/30,1.15 
1980/10/1,1.16 
1980/10/2,1.12 
1980/10/3,1.13 
1980/10/6,1.13 
1980/10/7,1.15 
1980/10/8,1.20 
1980/10/9,1.22 
1980/10/10,1.22 
1980/10/13,1.21 
1980/10/14,1.22 
1980/10/15,1.18 
1980/10/16,1.17 
1980/10/17,1.18 
1980/10/20,1.19 
1980/10/21,1.21 
1980/10/22,1.21 
1980/10/23,1.20 
1980/10/24,1.20 
1980/10/27,1.18 
1980/10/28,1.16 
1980/10/29,1.15 
1980/10/30,1.15 
1980/10/31,1.16 
1980/11/3,1.16 
1980/11/5,1.21 
1980/11/6,1.19 
1980/11/7,1.18 
1980/11/10,1.19 
1980/11/11,1.19 
1980/11/12,1.20 
1980/11/13,1.23 
1980/11/14,1.26 
1980/11/17,1.23 
1980/11/18,1.26 
1980/11/19,1.26 
1980/11/20,1.23 
1980/11/21,1.21 
1980/11/24,1.18 
1980/11/25,1.18 
1980/11/26,1.18 
1980/11/28,1.19 
1980/12/1,1.19 
1980/12/2,1.19 
1980/12/3,1.18 
1980/12/4,1.16 
1980/12/5,1.13 
1980/12/8,1.10 
1980/12/9,1.10 
1980/12/10,1.09 
1980/12/11,1.08 
1980/12/12,1.08 
1980/12/15,1.09 
1980/12/16,1.10 
1980/12/17,1.11 
1980/12/18,1.12 
1980/12/19,1.10 
1980/12/22,1.15 
1980/12/23,1.13 
1980/12/24,1.14 
1980/12/26,1.17 
1980/12/29,1.19 
1980/12/30,1.19 
1980/12/31,1.21 
1981/1/2,1.21 
1981/1/5,1.22 
1981/1/6,1.23 
1981/1/7,1.20 
1981/1/8,1.19 
1981/1/9,1.19 
1981/1/12,1.18 
1981/1/13,1.19 
1981/1/14,1.19 
1981/1/15,1.20 
1981/1/16,1.19 
1981/1/19,1.19 
1981/1/20,1.19 
1981/1/21,1.15 
1981/1/22,1.16 
1981/1/23,1.16 
1981/1/26,1.17 
1981/1/27,1.18 
1981/1/28,1.17 
1981/1/29,1.16 
1981/1/30,1.17 
1981/2/2,1.17 
1981/2/3,1.18 
1981/2/4,1.19 
1981/2/5,1.19 
1981/2/6,1.19 
1981/2/9,1.18 
1981/2/10,1.18 
1981/2/11,1.17 
1981/2/12,1.17 
