date, price
1997/5/15,1.93
1997/5/16,1.71
1997/5/19,1.62
1997/5/20,1.64
1997/5/21,1.37
1997/5/22,1.31
1997/5/23,1.33
1997/5/27,1.46
1997/5/28,1.53
1997/5/29,1.48
1997/5/30,1.48
1997/6/2,1.5
1997/6/3,1.48
1997/6/4,1.4
1997/6/5,1.37
1997/6/6,1.51
1997/6/9,1.66
1997/6/10,1.53
1997/6/11,1.53
1997/6/12,1.55
1997/6/13,1.58
1997/6/16,1.56
1997/6/17,1.49
1997/6/18,1.5
1997/6/19,1.5
1997/6/20,1.5
1997/6/23,1.48
1997/6/24,1.48
1997/6/25,1.49
1997/6/26,1.51
1997/6/27,1.48
1997/6/30,1.48
1997/7/1,1.51
1997/7/2,1.51
1997/7/3,1.59
1997/7/7,1.83
1997/7/8,2.04
1997/7/9,2.27
1997/7/10,2.33
1997/7/11,2.21
1997/7/14,2.11
1997/7/15,2.14
1997/7/16,2.3
1997/7/17,2.16
1997/7/18,2.16
1997/7/21,2.15
1997/7/22,2.06
1997/7/23,2.18
1997/7/24,2.22
1997/7/25,2.22
1997/7/28,2.22
1997/7/29,2.33
1997/7/30,2.43
1997/7/31,2.33
1997/8/1,2.25
1997/8/4,2.3
1997/8/5,2.15
1997/8/6,2.19
1997/8/7,2.12
1997/8/8,2.1
1997/8/11,2.25
1997/8/12,2.2
1997/8/13,2.17
1997/8/14,2.12
1997/8/15,1.94
1997/8/18,1.97
1997/8/19,2.05
1997/8/20,2.07
1997/8/21,2.07
1997/8/22,2.09
1997/8/25,2.1
1997/8/26,2.23
1997/8/27,2.25
1997/8/28,2.28
1997/8/29,2.32
1997/9/2,2.33
1997/9/3,2.31
1997/9/4,2.34
1997/9/5,2.46
1997/9/8,2.5
1997/9/9,3.03
1997/9/10,3.12
1997/9/11,3.04
1997/9/12,3.16
1997/9/15,3.05
1997/9/16,3.12
1997/9/17,3.33
1997/9/18,3.28
1997/9/19,3.37
1997/9/22,3.95
1997/9/23,4.4
1997/9/24,4.29
1997/9/25,4.05
1997/9/26,4.05
1997/9/29,3.96
1997/9/30,3.8
1997/10/1,3.94
1997/10/2,3.99
1997/10/3,3.98
1997/10/6,3.94
1997/10/7,4.04
1997/10/8,3.98
1997/10/9,3.74
1997/10/10,3.67
1997/10/13,3.93
1997/10/14,3.83
1997/10/15,3.77
1997/10/16,3.6
1997/10/17,3.52
1997/10/20,3.67
1997/10/21,3.85
1997/10/22,4.37
1997/10/23,4.19
1997/10/24,4.54
1997/10/27,4.23
1997/10/28,3.87
1997/10/29,5
1997/10/30,5.04
1997/10/31,4.97
1997/11/3,4.95
1997/11/4,4.82
1997/11/5,4.87
1997/11/6,4.64
1997/11/7,4.39
1997/11/10,4.21
1997/11/11,3.92
1997/11/12,3.67
1997/11/13,3.77
1997/11/14,3.78
1997/11/17,4.22
1997/11/18,4.34
1997/11/19,4.31
1997/11/20,4.51
1997/11/21,4.49
1997/11/24,4.23
1997/11/25,4.04
1997/11/26,4.24
1997/11/28,4.11
1997/12/1,4.14
1997/12/2,4.18
1997/12/3,4.19
1997/12/4,4.39
1997/12/5,4.35
1997/12/8,4.52
1997/12/9,4.6
1997/12/10,4.4
1997/12/11,4.4
1997/12/12,4.41
1997/12/15,4.41
1997/12/16,4.46
1997/12/17,4.26
1997/12/18,4.23
1997/12/19,4.17
1997/12/22,4.43
1997/12/23,4.62
1997/12/24,4.47
1997/12/26,4.49
1997/12/29,4.53
1997/12/30,4.78
1997/12/31,4.84
1998/1/2,4.8
1998/1/5,4.71
1998/1/6,4.67
1998/1/7,4.69
1998/1/8,4.53
1998/1/9,4.23
1998/1/12,4.15
1998/1/13,4.32
1998/1/14,4.62
1998/1/15,4.79
1998/1/16,4.77
1998/1/20,4.81
1998/1/21,4.87
1998/1/22,5.02
1998/1/23,4.94
1998/1/26,4.74
1998/1/27,4.67
1998/1/28,4.62
1998/1/29,4.78
1998/1/30,4.89
1998/2/2,4.94
1998/2/3,5.09
1998/2/4,5.05
1998/2/5,4.87
1998/2/6,4.87
1998/2/9,4.77
1998/2/10,4.83
1998/2/11,5.28
1998/2/12,5.19
1998/2/13,5.15
1998/2/17,5.07
1998/2/18,5.05
1998/2/19,5.08
1998/2/20,5.11
1998/2/23,5.21
1998/2/24,5.35
1998/2/25,5.26
1998/2/26,5.44
1998/2/27,5.98
1998/3/2,6.25
1998/3/3,5.96
1998/3/4,5.83
1998/3/5,5.94
1998/3/6,6.15
1998/3/9,6.4
1998/3/10,6.77
1998/3/11,6.52
1998/3/12,6.43
1998/3/13,6.48
1998/3/16,6.58
1998/3/17,6.49
1998/3/18,6.6
1998/3/19,6.98
1998/3/20,6.93
1998/3/23,6.9
1998/3/24,6.87
1998/3/25,6.75
1998/3/26,6.62
1998/3/27,6.9
1998/3/30,7.09
1998/3/31,6.98
1998/4/1,7
1998/4/2,7.48
1998/4/3,7.69
1998/4/6,7.35
1998/4/7,7.06
1998/4/8,7.12
1998/4/9,7.64
1998/4/13,7.67
1998/4/14,7.77
1998/4/15,7.87
1998/4/16,7.78
1998/4/17,7.87
1998/4/20,7.81
1998/4/21,7.59
1998/4/22,7.25
1998/4/23,6.71
1998/4/24,6.79
1998/4/27,6.43
1998/4/28,7.42
1998/4/29,7.8
1998/4/30,7.54
1998/5/1,7.54
1998/5/4,7.78
1998/5/5,7.76
1998/5/6,7.51
1998/5/7,7.35
1998/5/8,7.46
1998/5/11,7.21
1998/5/12,7.22
1998/5/13,7.48
1998/5/14,7.58
1998/5/15,7.46
1998/5/18,7.23
1998/5/19,7.44
1998/5/20,7.35
1998/5/21,7.28
1998/5/22,7.12
1998/5/26,6.74
1998/5/27,6.65
1998/5/28,7.1
1998/5/29,7.12
1998/6/1,6.94
1998/6/2,6.92
1998/6/3,7
1998/6/4,6.87
1998/6/5,7.19
1998/6/8,7.25
1998/6/9,7.71
1998/6/10,8.5
1998/6/11,9.17
1998/6/12,9.71
1998/6/15,9.85
1998/6/16,11.08
1998/6/17,12.56
1998/6/18,11.96
1998/6/19,11.33
1998/6/22,12.04
1998/6/23,13.42
1998/6/24,14.85
1998/6/25,16
1998/6/26,15.62
1998/6/29,15.79
1998/6/30,16.12
1998/7/1,16.79
1998/7/2,18.75
1998/7/6,20.92
1998/7/7,20.17
1998/7/8,17.06
1998/7/9,17.5
1998/7/10,16.35
1998/7/13,15.71
1998/7/14,17.83
1998/7/15,18.29
1998/7/16,18.08
1998/7/17,18.65
1998/7/20,19.96
1998/7/21,21.33
1998/7/22,21.75
1998/7/23,21.17
1998/7/24,19.5
1998/7/27,19.27
1998/7/28,19.67
1998/7/29,17.92
1998/7/30,17.58
1998/7/31,18.19
1998/8/3,17.87
1998/8/4,18.02
1998/8/5,16.67
1998/8/6,17.18
1998/8/7,18.23
1998/8/10,19.17
1998/8/11,19.21
1998/8/12,20.68
1998/8/13,21.17
1998/8/14,20.04
1998/8/17,19.75
1998/8/18,19.85
1998/8/19,21.17
1998/8/20,20.92
1998/8/21,20.54
1998/8/24,21.69
1998/8/25,21.79
1998/8/26,21.14
1998/8/27,19.83
1998/8/28,17.21
1998/8/31,13.85
1998/9/1,10.83
1998/9/2,13.67
1998/9/3,13.46
1998/9/4,13.67
1998/9/8,15
1998/9/9,13.9
1998/9/10,12.54
1998/9/11,12.25
1998/9/14,12.25
1998/9/15,11.73
1998/9/16,11.92
1998/9/17,12.75
1998/9/18,12.95
1998/9/21,12.67
1998/9/22,14.6
1998/9/23,15
1998/9/24,16.92
1998/9/25,16.42
1998/9/28,18.65
1998/9/29,18.58
1998/9/30,18.14
1998/10/1,16.67
1998/10/2,16.83
1998/10/5,16.83
1998/10/6,17.33
1998/10/7,15.21
1998/10/8,13.33
1998/10/9,13.96
1998/10/12,15.5
1998/10/13,15.1
1998/10/14,14.96
1998/10/15,15.42
1998/10/16,16.17
1998/10/19,16.5
1998/10/20,17.77
1998/10/21,17.6
1998/10/22,17.9
1998/10/23,19.02
1998/10/26,19.46
1998/10/27,19.34
1998/10/28,19.04
1998/10/29,19.83
1998/10/30,20.77
1998/11/2,20.75
1998/11/3,20.96
1998/11/4,21.1
1998/11/5,21.04
1998/11/6,20.67
1998/11/9,20.12
1998/11/10,21.35
1998/11/11,20.87
1998/11/12,20.83
1998/11/13,20.95
1998/11/16,20.58
1998/11/17,21.42
1998/11/18,25.25
1998/11/19,25.5
1998/11/20,27.5
1998/11/23,31.01
1998/11/24,34.17
1998/11/25,34.17
1998/11/27,35.5
1998/11/30,31.96
1998/12/1,30.33
1998/12/2,32.93
1998/12/3,30.83
1998/12/4,30.42
1998/12/7,30.85
1998/12/8,31.42
1998/12/9,33.67
1998/12/10,34.94
1998/12/11,35
1998/12/14,36.33
1998/12/15,37.58
1998/12/16,43.17
1998/12/17,43.43
1998/12/18,46.31
1998/12/21,50
1998/12/22,51.44
1998/12/23,53.19
1998/12/24,53.17
1998/12/28,54.17
1998/12/29,54.75
1998/12/30,50.65
1998/12/31,52.69
1999/1/4,53.31
1999/1/5,53.25
1999/1/6,67
1999/1/7,66.5
1999/1/8,76
1999/1/11,83.81
1999/1/12,79.5
1999/1/13,62.5
1999/1/14,68
1999/1/15,68.81
1999/1/19,68.12
1999/1/20,54.88
1999/1/21,46.28
1999/1/22,49.38
1999/1/25,55
1999/1/26,55.31
1999/1/27,60
1999/1/28,60.12
1999/1/29,57.5
1999/2/1,57.5
1999/2/2,54.25
1999/2/3,54.25
1999/2/4,58.12
1999/2/5,56.16
1999/2/8,52.88
1999/2/9,49.97
1999/2/10,47.5
1999/2/11,49.75
1999/2/12,51.81
1999/2/16,48.5
1999/2/17,46.25
1999/2/18,42.12
1999/2/19,45.5
1999/2/22,49
1999/2/23,54.75
1999/2/24,55.12
1999/2/25,57.31
1999/2/26,60.5
1999/3/1,62
1999/3/2,60.53
1999/3/3,60.12
1999/3/4,57.94
1999/3/5,59.19
1999/3/8,59.62
1999/3/9,61.72
1999/3/10,67
1999/3/11,65.5
1999/3/12,64.31
1999/3/15,65.5
1999/3/16,66.38
1999/3/17,64.12
1999/3/18,66.19
1999/3/19,67.5
1999/3/22,65.25
1999/3/23,59
1999/3/24,57
1999/3/25,64.09
1999/3/26,68.69
1999/3/29,74
1999/3/30,75.77
1999/3/31,82.56
1999/4/1,83.75
1999/4/5,85.88
1999/4/6,89.75
1999/4/7,85.62
1999/4/8,83
1999/4/9,87.88
1999/4/12,88
1999/4/13,89.12
1999/4/14,83.31
1999/4/15,75.5
1999/4/16,90.34
1999/4/19,77.5
1999/4/20,76.75
1999/4/21,84.5
1999/4/22,88.97
1999/4/23,95.88
1999/4/26,102
1999/4/27,101
1999/4/28,91.19
1999/4/29,82.5
1999/4/30,82.5
1999/5/3,75.06
1999/5/4,70.25
1999/5/5,66.94
1999/5/6,67.88
1999/5/7,65.5
1999/5/10,67
1999/5/11,72
1999/5/12,70.5
1999/5/13,68
1999/5/14,64.91
1999/5/17,60.75
1999/5/18,65.47
1999/5/19,66.75
1999/5/20,65.25
1999/5/21,62.88
1999/5/24,58
1999/5/25,55.69
1999/5/26,52.25
1999/5/27,57
1999/5/28,56
1999/6/1,52.49
1999/6/2,48.56
1999/6/3,52.25
1999/6/4,50.81
1999/6/7,54
1999/6/8,55.19
1999/6/9,54.88
1999/6/10,55.06
1999/6/11,52.38
1999/6/14,44.88
1999/6/15,45.31
1999/6/16,50.5
1999/6/17,54.81
1999/6/18,54.75
1999/6/21,55.88
1999/6/22,58.25
1999/6/23,56.06
1999/6/24,56.5
1999/6/25,54.06
1999/6/28,51.22
1999/6/29,54.38
1999/6/30,57.5
1999/7/1,59
1999/7/2,60.38
1999/7/6,62.75
1999/7/7,60
1999/7/8,60.66
1999/7/9,62.03
1999/7/12,58
1999/7/13,57.5
1999/7/14,62.91
1999/7/15,66.69
1999/7/16,68.06
1999/7/19,65.75
1999/7/20,60.03
1999/7/21,60.12
1999/7/22,52.38
1999/7/23,51.59
1999/7/26,52.5
1999/7/27,50.06
1999/7/28,49.81
1999/7/29,50
1999/7/30,48.75
1999/8/2,46.97
1999/8/3,44.81
1999/8/4,44
1999/8/5,41
1999/8/6,44.62
1999/8/9,42.28
1999/8/10,41
1999/8/11,42.59
1999/8/12,44.69
1999/8/13,47.06
1999/8/16,47.75
1999/8/17,49.94
1999/8/18,56.25
1999/8/19,52.56
1999/8/20,52.56
1999/8/23,57.88
1999/8/24,57.97
1999/8/25,60.75
1999/8/26,63.75
1999/8/27,62.5
1999/8/30,58.94
1999/8/31,56.09
1999/9/1,58.75
1999/9/2,57.38
1999/9/3,60.62
1999/9/7,62.12
1999/9/8,60.94
1999/9/9,62.38
1999/9/10,64.88
1999/9/13,62.5
1999/9/14,62.75
1999/9/15,65
1999/9/16,62.75
1999/9/17,62.75
1999/9/20,62.69
1999/9/21,61
1999/9/22,60.69
1999/9/23,61.23
1999/9/24,61.5
1999/9/27,61.88
1999/9/28,61.12
1999/9/29,65.75
1999/9/30,76.25
1999/10/1,76.66
1999/10/4,75.75
1999/10/5,74.75
1999/10/6,79.5
1999/10/7,83.5
1999/10/8,84.44
1999/10/11,86.75
1999/10/12,84.88
1999/10/13,79.56
1999/10/14,78.44
1999/10/15,73.94
1999/10/18,71.06
1999/10/19,75.62
1999/10/20,76.34
1999/10/21,77.06
1999/10/22,78
1999/10/25,77.94
1999/10/26,80.12
1999/10/27,74.81
1999/10/28,65.88
1999/10/29,69.25
1999/11/1,66.31
1999/11/2,65.06
1999/11/3,65
1999/11/4,61
1999/11/5,62.25
1999/11/8,63.5
1999/11/9,70
1999/11/10,70.12
1999/11/11,71.38
1999/11/12,70.81
1999/11/15,73.31
1999/11/16,73.75
1999/11/17,75.44
1999/11/18,75.25
1999/11/19,76.06
1999/11/22,76
1999/11/23,76.25
1999/11/24,83.25
1999/11/26,90.5
1999/11/29,90.12
1999/11/30,83.81
1999/12/1,81.97
1999/12/2,85.62
1999/12/3,86.06
1999/12/6,84.69
1999/12/7,84.38
1999/12/8,86
1999/12/9,93.44
1999/12/10,104.44
1999/12/13,101.5
1999/12/14,93.56
1999/12/15,91
1999/12/16,93.5
1999/12/17,93.81
1999/12/20,95.06
1999/12/21,95.5
1999/12/22,95.5
1999/12/23,89.06
1999/12/27,80
1999/12/28,81.56
1999/12/29,82.62
1999/12/30,78.5
1999/12/31,76
2000/1/3,79.05
2000/1/4,81.75
2000/1/5,68
2000/1/6,64
2000/1/7,66.19
2000/1/10,65.56
2000/1/11,65
2000/1/12,63
2000/1/13,63.12
2000/1/14,64
2000/1/18,63
2000/1/19,63
2000/1/20,63.94
2000/1/21,60
2000/1/24,67.5
2000/1/25,66
2000/1/26,64.75
2000/1/27,64.62
2000/1/28,60
2000/1/31,58.44
2000/2/1,64.38
2000/2/2,67.75
2000/2/3,77.38
2000/2/4,77.88
2000/2/7,73.12
2000/2/8,73.44
2000/2/9,80.02
2000/2/10,75.5
2000/2/11,75.5
2000/2/14,73.56
2000/2/15,70.62
2000/2/16,70.62
2000/2/17,68
2000/2/18,63.88
2000/2/22,63.06
2000/2/23,64.69
2000/2/24,65.62
2000/2/25,65.19
2000/2/28,64.12
2000/2/29,65.88
2000/3/1,65
2000/3/2,62.19
2000/3/3,62.06
2000/3/6,62.81
2000/3/7,62.12
2000/3/8,60.56
2000/3/9,62.19
2000/3/10,65
2000/3/13,63
2000/3/14,63.38
2000/3/15,62
2000/3/16,60
2000/3/17,64.5
2000/3/20,62.38
2000/3/21,62.25
2000/3/22,69.25
2000/3/23,67.5
2000/3/24,71.31
2000/3/27,71.75
2000/3/28,69.47
2000/3/29,65
2000/3/30,64
2000/3/31,63
2000/4/3,62
2000/4/4,55.75
2000/4/5,60.5
2000/4/6,61.88
2000/4/7,64.12
2000/4/10,63.25
2000/4/11,61.25
2000/4/12,56.25
2000/4/13,47.94
2000/4/14,40.81
2000/4/17,44.62
2000/4/18,47.12
2000/4/19,51.69
2000/4/20,49.88
2000/4/24,44.88
2000/4/25,50.25
2000/4/26,52.45
2000/4/27,48.5
2000/4/28,53.12
2000/5/1,55.25
2000/5/2,55.88
2000/5/3,53
2000/5/4,53.12
2000/5/5,54.12
2000/5/8,55.44
2000/5/9,53
2000/5/10,49
2000/5/11,50.94
2000/5/12,53.12
2000/5/15,50.88
2000/5/16,56
2000/5/17,57
2000/5/18,55.12
2000/5/19,52.25
2000/5/22,46.88
2000/5/23,46.5
2000/5/24,40.44
2000/5/25,45.5
2000/5/26,44
2000/5/30,47.31
2000/5/31,48.12
2000/6/1,46.38
2000/6/2,52.25
2000/6/5,52.5
2000/6/6,50.25
2000/6/7,50.12
2000/6/8,51.62
2000/6/9,51.88
2000/6/12,47
2000/6/13,46.25
2000/6/14,46
2000/6/15,45.31
2000/6/16,45.38
2000/6/19,43.5
2000/6/20,45.12
2000/6/21,45.06
2000/6/22,41.62
2000/6/23,32.47
2000/6/26,32.81
2000/6/27,33.5
2000/6/28,36.12
2000/6/29,36.12
2000/6/30,35.5
2000/7/3,36.5
2000/7/5,36.38
2000/7/6,34.75
2000/7/7,35.25
2000/7/10,35
2000/7/11,32.62
2000/7/12,34.25
2000/7/13,34.88
2000/7/14,36.31
2000/7/17,40.25
2000/7/18,39.5
2000/7/19,39
2000/7/20,39.5
2000/7/21,40.44
2000/7/24,38.06
2000/7/25,33.25
2000/7/26,34.06
2000/7/27,29.75
2000/7/28,29
2000/7/31,27.88
2000/8/1,30.25
2000/8/2,30.22
2000/8/3,29.31
2000/8/4,31.5
2000/8/7,31.62
2000/8/8,32.44
2000/8/9,30.38
2000/8/10,29.75
2000/8/11,30.31
2000/8/14,32.69
2000/8/15,34.38
2000/8/16,37.53
2000/8/17,36.88
2000/8/18,38.94
2000/8/21,36.5
2000/8/22,36.06
2000/8/23,35
2000/8/24,38.81
2000/8/25,38.56
2000/8/28,38.56
2000/8/29,38.88
2000/8/30,42
2000/8/31,41.44
2000/9/1,41
2000/9/5,40.25
2000/9/6,45.69
2000/9/7,43
2000/9/8,42.5
2000/9/11,42.19
2000/9/12,42.25
2000/9/13,41
2000/9/14,43.75
2000/9/15,42.88
2000/9/18,41.88
2000/9/19,39.12
2000/9/20,37.38
2000/9/21,37.25
2000/9/22,38.31
2000/9/25,40
2000/9/26,39.56
2000/9/27,35.5
2000/9/28,37.12
2000/9/29,37.62
2000/10/2,35.25
2000/10/3,35
2000/10/4,32.5
2000/10/5,32
2000/10/6,30.19
2000/10/9,27.38
2000/10/10,28.88
2000/10/11,27.62
2000/10/12,24.62
2000/10/13,23.5
2000/10/16,24.12
2000/10/17,20.88
2000/10/18,19.38
2000/10/19,24.19
2000/10/20,27.12
2000/10/23,27.62
2000/10/24,28.81
2000/10/25,31.75
2000/10/26,31
2000/10/27,33.88
2000/10/30,30.27
2000/10/31,32.06
2000/11/1,35.69
2000/11/2,37.5
2000/11/3,36.88
2000/11/6,34.75
2000/11/7,35.56
2000/11/8,33.25
2000/11/9,29.88
2000/11/10,30
2000/11/13,27.44
2000/11/14,25.75
2000/11/15,28.44
2000/11/16,27.75
2000/11/17,26.88
2000/11/20,25
2000/11/21,23.62
2000/11/22,22.12
2000/11/24,26.06
2000/11/27,27
2000/11/28,24.62
2000/11/29,24.25
2000/11/30,22.88
2000/12/1,23
2000/12/4,23.25
2000/12/5,24.75
2000/12/6,23.62
2000/12/7,20.12
2000/12/8,21.25
2000/12/11,21.75
2000/12/12,24.31
2000/12/13,23.5
2000/12/14,22.59
2000/12/15,22
2000/12/18,18.94
2000/12/19,17.38
2000/12/20,15.62
2000/12/21,14.88
2000/12/22,15.25
2000/12/26,16.25
2000/12/27,15.56
2000/12/28,16.62
2000/12/29,15
2001/1/2,13.62
2001/1/3,13.56
2001/1/4,15.44
2001/1/5,13.56
2001/1/8,13.75
2001/1/9,14.19
2001/1/10,15.56
2001/1/11,15.62
2001/1/12,17.12
2001/1/16,17.25
2001/1/17,17.75
2001/1/18,17.94
2001/1/19,18.69
2001/1/22,18.5
2001/1/23,18.25
2001/1/24,19
2001/1/25,19
2001/1/26,18.88
2001/1/29,18.81
2001/1/30,18.67
2001/1/31,17.06
2001/2/1,15.75
2001/2/2,14.25
2001/2/5,14.31
2001/2/6,13.56
2001/2/7,14.56
2001/2/8,14.38
2001/2/9,13.38
2001/2/12,13.7
2001/2/13,13.75
2001/2/14,13.5
2001/2/15,13.5
2001/2/16,13.31
2001/2/20,12.44
2001/2/21,11.31
2001/2/22,11.38
2001/2/23,11.06
2001/2/26,11.5
2001/2/27,11.62
2001/2/28,9.94
2001/3/1,9.59
2001/3/2,10
2001/3/5,11.5
2001/3/6,11.25
2001/3/7,11.44
2001/3/8,11.62
2001/3/9,11.38
2001/3/12,10.5
2001/3/13,10.5
2001/3/14,10.12
2001/3/15,10.81
2001/3/16,10.25
2001/3/19,10.12
2001/3/20,10.12
2001/3/21,10
2001/3/22,9.56
2001/3/23,9.94
2001/3/26,10.62
2001/3/27,10.51
2001/3/28,10.75
2001/3/29,10
2001/3/30,9.91
2001/4/2,8.5
2001/4/3,8.5
2001/4/4,8.1
2001/4/5,8.72
2001/4/6,8.2
2001/4/9,10.7
2001/4/10,11.2
2001/4/11,12.18
2001/4/12,13
2001/4/16,13.65
2001/4/17,13.75
2001/4/18,15.55
2001/4/19,15.69
2001/4/20,14.97
2001/4/23,16.02
2001/4/24,15.48
2001/4/25,14.6
2001/4/26,15
2001/4/27,15.02
2001/4/30,15.59
2001/5/1,15.8
2001/5/2,16.84
2001/5/3,16.25
2001/5/4,15.93
2001/5/7,16.51
2001/5/8,15.6
2001/5/9,15
2001/5/10,14.6
2001/5/11,14
2001/5/14,13.16
2001/5/15,13.14
2001/5/16,13.1
2001/5/17,14.03
2001/5/18,14.5
2001/5/21,14.75
2001/5/22,15.9
2001/5/23,15.12
2001/5/24,15.25
2001/5/25,16.37
2001/5/29,16.7
2001/5/30,15.62
2001/5/31,15.75
2001/6/1,16.39
2001/6/4,16.15
2001/6/5,16
2001/6/6,15.48
2001/6/7,15.69
2001/6/8,15.65
2001/6/11,14.45
2001/6/12,14.32
2001/6/13,14.11
2001/6/14,13.16
2001/6/15,12.3
2001/6/18,11.67
2001/6/19,11.2
2001/6/20,11.2
2001/6/21,12.59
2001/6/22,12.38
2001/6/25,12.57
2001/6/26,12.04
2001/6/27,13.65
2001/6/28,13.77
2001/6/29,13.72
2001/7/2,13.85
2001/7/3,14
2001/7/5,14.2
2001/7/6,14.8
2001/7/9,15.11
2001/7/10,14.82
2001/7/11,14.95
2001/7/12,15.7
2001/7/13,16.1
2001/7/16,16.01
2001/7/17,15.83
2001/7/18,15.88
2001/7/19,16.14
2001/7/20,16.45
2001/7/23,15.96
2001/7/24,11.9
2001/7/25,11.07
2001/7/26,11.23
2001/7/27,11.7
2001/7/30,11.98
2001/7/31,12.23
2001/8/1,12.17
2001/8/2,12.1
2001/8/3,12.11
2001/8/6,11.85
2001/8/7,11.52
2001/8/8,11.03
2001/8/9,10.25
2001/8/10,9.94
2001/8/13,9.77
2001/8/14,10.27
2001/8/15,10
2001/8/16,9.4
2001/8/17,9.45
2001/8/20,9.95
2001/8/21,9.88
2001/8/22,9.59
2001/8/23,9.57
2001/8/24,9.72
2001/8/27,9.91
2001/8/28,9.56
2001/8/29,9.01
2001/8/30,8.55
2001/8/31,8.69
2001/9/4,8.52
2001/9/5,6.85
2001/9/6,7.67
2001/9/7,7.85
2001/9/10,8.06
2001/9/17,7.05
2001/9/18,7.25
2001/9/19,6.64
2001/9/20,7.05
2001/9/21,6.69
2001/9/24,7.34
2001/9/25,7.02
2001/9/26,6
2001/9/27,5.67
2001/9/28,5.83
2001/10/1,5.51
2001/10/2,5.95
2001/10/3,6.02
2001/10/4,6.68
2001/10/5,6.74
2001/10/8,6.91
2001/10/9,6.67
2001/10/10,6.8
2001/10/11,7.5
2001/10/12,7.47
2001/10/15,8.23
2001/10/16,9.11
2001/10/17,8.85
2001/10/18,8.38
2001/10/19,7.5
2001/10/22,8.04
2001/10/23,8.85
2001/10/24,7.4
2001/10/25,7.15
2001/10/26,7.51
2001/10/29,7.04
2001/10/30,6.32
2001/10/31,6.55
2001/11/1,6.6
2001/11/2,6.67
2001/11/5,6.96
2001/11/6,6.91
2001/11/7,7
2001/11/8,6.74
2001/11/9,6.97
2001/11/12,6.8
2001/11/13,7.2
2001/11/14,7.6
2001/11/15,8.75
2001/11/16,8.75
2001/11/19,9
2001/11/20,8.6
2001/11/21,8.04
2001/11/23,8.56
2001/11/26,9.8
2001/11/27,11.22
2001/11/28,11.18
2001/11/29,10.79
2001/11/30,10.8
2001/12/3,10.48
2001/12/4,10.71
2001/12/5,11.75
2001/12/6,11.85
2001/12/7,11.5
2001/12/10,11.44
2001/12/11,11.78
2001/12/12,11.63
2001/12/13,10.85
2001/12/14,10.07
2001/12/17,10.18
2001/12/18,10.62
2001/12/19,10.51
2001/12/20,10.14
2001/12/21,10
2001/12/24,9.51
2001/12/26,10.87
2001/12/27,10.57
2001/12/28,10.69
2001/12/31,10.74
2002/1/2,10.49
2002/1/3,11.05
2002/1/4,11.95
2002/1/7,12.08
2002/1/8,11.75
2002/1/9,11.3
2002/1/10,10.87
2002/1/11,10.93
2002/1/14,10.09
2002/1/15,10.16
2002/1/16,9.03
2002/1/17,9.4
2002/1/18,9.39
2002/1/22,12.15
2002/1/23,11.9
2002/1/24,12.71
2002/1/25,13.39
2002/1/28,14.76
2002/1/29,13.97
2002/1/30,13.2
2002/1/31,13.41
2002/2/1,13.35
2002/2/4,12.43
2002/2/5,11.16
2002/2/6,11.2
2002/2/7,11.06
2002/2/8,11.5
2002/2/11,12.54
2002/2/12,12.5
2002/2/13,13.06
2002/2/14,13.3
2002/2/15,13.27
2002/2/19,12.8
2002/2/20,12.15
2002/2/21,12.9
2002/2/22,12.7
2002/2/25,13
2002/2/26,13.45
2002/2/27,14.12
2002/2/28,13.93
2002/3/1,14.12
2002/3/4,15.4
2002/3/5,15.53
2002/3/6,14.82
2002/3/7,15.4
2002/3/8,15.93
2002/3/11,15.86
2002/3/12,16.04
2002/3/13,15.64
2002/3/14,14.28
2002/3/15,13.55
2002/3/18,14.14
2002/3/19,14.56
2002/3/20,14.3
2002/3/21,14.56
2002/3/22,15.1
2002/3/25,14.72
2002/3/26,14.55
