date, price
2014/3/28,557.14 
2014/3/31,555.41 
2014/4/1,557.18 
2014/4/2,560.65 
2014/4/3,562.59 
2014/4/4,541.51 
2014/4/7,525.71 
2014/4/8,540.13 
2014/4/9,551.44 
2014/4/10,538.42 
2014/4/11,525.09 
2014/4/14,528.11 
2014/4/15,517.04 
2014/4/16,538.52 
2014/4/17,529.70 
2014/4/21,524.16 
2014/4/22,526.07 
2014/4/23,524.81 
2014/4/24,520.69 
2014/4/25,514.01 
2014/4/28,501.42 
2014/4/29,514.91 
2014/4/30,521.09 
2014/5/1,522.45 
2014/5/2,524.17 
2014/5/5,519.89 
2014/5/6,513.65 
2014/5/7,501.92 
2014/5/8,505.06 
2014/5/9,502.82 
2014/5/12,517.59 
2014/5/13,528.06 
2014/5/14,523.85 
2014/5/15,516.00 
2014/5/16,514.03 
2014/5/19,516.17 
2014/5/20,524.86 
2014/5/21,530.45 
2014/5/22,539.30 
2014/5/23,542.21 
2014/5/27,552.83 
2014/5/28,559.46 
2014/5/29,557.18 
2014/5/30,554.39 
2014/6/2,544.24 
2014/6/3,541.06 
2014/6/4,537.27 
2014/6/5,542.96 
2014/6/6,547.43 
2014/6/9,554.52 
2014/6/10,556.37 
2014/6/11,553.50 
2014/6/12,546.96 
2014/6/13,544.07 
2014/6/16,540.04 
2014/6/17,537.85 
2014/6/18,542.51 
2014/6/19,547.01 
2014/6/20,548.88 
2014/6/23,552.73 
2014/6/24,559.47 
2014/6/25,563.67 
2014/6/26,570.28 
2014/6/27,572.23 
2014/6/30,573.18 
2014/7/1,575.07 
2014/7/2,578.80 
2014/7/3,579.33 
2014/7/7,578.00 
2014/7/8,564.58 
2014/7/9,567.82 
2014/7/10,563.46 
2014/7/11,569.86 
2014/7/14,576.45 
2014/7/15,574.98 
2014/7/16,580.61 
2014/7/17,567.05 
2014/7/18,580.41 
2014/7/21,583.63 
2014/7/22,588.98 
2014/7/23,590.88 
2014/7/24,590.15 
2014/7/25,585.42 
2014/7/28,583.15 
2014/7/29,581.92 
2014/7/30,582.40 
2014/7/31,568.44 
2014/8/1,561.31 
2014/8/4,562.56 
2014/8/5,561.07 
2014/8/6,558.47 
2014/8/7,559.56 
2014/8/8,558.82 
2014/8/11,564.45 
2014/8/12,559.34 
2014/8/13,564.20 
2014/8/14,569.32 
2014/8/15,568.96 
2014/8/18,574.42 
2014/8/19,582.40 
2014/8/20,580.97 
2014/8/21,579.55 
2014/8/22,579.05 
2014/8/25,577.41 
2014/8/26,575.00 
2014/8/27,568.54 
2014/8/28,565.55 
2014/8/29,565.52 
2014/9/2,569.63 
2014/9/3,573.43 
2014/9/4,577.63 
2014/9/5,580.36 
2014/9/8,584.69 
2014/9/9,578.41 
2014/9/10,575.36 
2014/9/11,574.68 
2014/9/12,572.89 
2014/9/15,566.65 
2014/9/16,571.09 
2014/9/17,577.19 
2014/9/18,583.40 
2014/9/19,587.89 
2014/9/22,581.86 
2014/9/23,579.41 
2014/9/24,578.93 
2014/9/25,572.61 
2014/9/26,573.09 
2014/9/29,569.61 
2014/9/30,571.28 
2014/10/1,565.46 
2014/10/2,561.78 
2014/10/3,570.93 
2014/10/6,572.87 
2014/10/7,562.20 
2014/10/8,555.96 
2014/10/9,557.53 
2014/10/10,542.56 
2014/10/13,531.64 
2014/10/14,531.71 
2014/10/15,516.88 
2014/10/16,513.59 
2014/10/17,507.14 
2014/10/20,506.71 
2014/10/21,517.69 
2014/10/22,527.35 
