date, price
2010/8/8,52.3
2010/8/9,52.35
2010/8/10,52.49
2010/8/11,52.53
2010/8/12,52.49
2010/8/13,52.45
2010/8/14,52.38
2010/8/15,52.43
2010/8/16,52.49
2010/8/17,52.44
2010/8/18,52.59
2010/8/19,53.05
2010/8/20,53.49
2010/8/21,53.28
2010/8/22,53.14
2010/8/23,53.41
2010/8/24,53.36
2010/8/25,53.43
2010/8/26,53.32
2010/8/27,53.32
2010/8/28,53.18
2010/8/29,53.16
2010/8/30,53.15
2010/8/31,53.22
2010/9/1,53.22
2010/9/2,53.26
2010/9/3,53.33
2010/9/4,53.41
2010/9/5,53.23
2010/9/6,53.28
2010/9/7,53.24
2010/9/8,53.29
2010/9/9,53.33
2010/9/10,53.32
2010/9/11,53.35
2010/9/12,53.53
2010/9/13,53.58
2010/9/14,53.63
2010/9/15,53.57
2010/9/16,53.45
2010/9/17,53.46
2010/9/18,53.39
2010/9/19,53.34
2010/9/20,53.33
2010/9/21,53.2
2010/9/22,53.4
2010/9/23,53.3
2010/9/24,53.28
2010/9/25,53.49
2010/9/26,53.63
2010/9/27,53.75
2010/9/28,53.74
2010/9/29,53.86
2010/9/30,53.88
2010/10/1,53.83
2010/10/2,53.81
2010/10/3,53.74
2010/10/4,53.91
2010/10/5,53.85
2010/10/6,53.96
2010/10/7,54.53
2010/10/8,54.54
2010/10/9,54.81
2010/10/10,54.69
2010/10/11,54.65
2010/10/12,54.48
2010/10/13,54.26
2010/10/14,54.2
2010/10/15,54.23
2010/10/16,54.28
2010/10/17,54.32
2010/10/18,54.33
2010/10/19,54.31
2010/10/20,54.49
2010/10/21,54.51
2010/10/22,54.48
2010/10/23,54.52
2010/10/24,54.6
2010/10/25,54.66
2010/10/26,54.64
2010/10/27,54.66
2010/10/28,54.66
2010/10/29,54.73
2010/10/30,54.7
2010/10/31,54.66
2010/11/1,54.6
2010/11/2,54.62
2010/11/3,54.68
2010/11/4,54.55
2010/11/5,54.56
2010/11/6,54.47
2010/11/7,54.43
2010/11/8,54.32
2010/11/9,54.02
2010/11/10,54.23
2010/11/11,54.16
2010/11/12,54.16
2010/11/13,54.15
2010/11/14,54.3
2010/11/15,54.2
2010/11/16,54.26
2010/11/17,54.39
2010/11/18,54.51
2010/11/19,54.81
2010/11/20,55.05
2010/11/21,55.15
2010/11/22,55.07
2010/11/23,55.2
2010/11/24,54.95
2010/11/25,54.43
2010/11/26,53.82
2010/11/27,53.75
2010/11/28,53.72
2010/11/29,53.86
2010/11/30,53.87
2010/12/1,53.99
2010/12/2,53.78
2010/12/3,54.01
2010/12/4,54.05
2010/12/5,53.97
2010/12/6,54
2010/12/7,54.02
2010/12/8,54.02
2010/12/9,53.82
2010/12/10,53.69
2010/12/11,53.75
2010/12/12,53.78
2010/12/13,53.82
2010/12/14,53.78
2010/12/15,53.94
2010/12/16,53.92
2010/12/17,53.85
2010/12/18,53.84
2010/12/19,53.82
2010/12/20,53.84
2010/12/21,53.92
2010/12/22,53.68
2010/12/23,53.55
2010/12/24,53.59
2010/12/25,53.5
2010/12/26,53.61
2010/12/27,53.72
2010/12/28,53.84
2010/12/29,53.73
2010/12/30,53.82
2010/12/31,53.72
2011/1/1,53.61
2011/1/2,53.61
2011/1/3,54.08
2011/1/4,54.33
2011/1/5,54.34
2011/1/6,54.5
2011/1/7,54.61
2011/1/8,54.54
2011/1/9,54.78
2011/1/10,54.98
2011/1/11,55.09
2011/1/12,55.36
2011/1/13,54.95
2011/1/14,55.32
2011/1/15,55.39
2011/1/16,55.44
2011/1/17,55.4
2011/1/18,55.3
2011/1/19,55.28
2011/1/20,55.37
2011/1/21,55.35
2011/1/22,55.13
2011/1/23,55.19
2011/1/24,55.35
2011/1/25,55.5
2011/1/26,55.38
2011/1/27,55.25
2011/1/28,55.31
2011/1/29,55.37
2011/1/30,55.32
2011/1/31,55.25
2011/2/1,55.23
2011/2/2,55.3
2011/2/3,55.28
2011/2/4,55.4
2011/2/5,55.5
2011/2/6,55.37
2011/2/7,55.46
2011/2/8,55.48
2011/2/9,55.67
2011/2/10,55.48
2011/2/11,55.33
2011/2/12,55.23
2011/2/13,55.15
2011/2/14,54.9
2011/2/15,54.75
2011/2/16,54.68
2011/2/17,54.21
2011/2/18,54.27
2011/2/19,53.46
2011/2/20,53.84
2011/2/21,53.91
2011/2/22,54.2
2011/2/23,54.3
2011/2/24,54.36
2011/2/25,54.58
2011/2/26,54.57
2011/2/27,54.57
2011/2/28,54.67
2011/3/1,54.9
2011/3/2,54.86
2011/3/3,54.85
2011/3/4,54.9
2011/3/5,54.97
2011/3/6,54.9
2011/3/7,54.89
2011/3/8,54.81
2011/3/9,54.78
2011/3/10,54.86
2011/3/11,54.92
2011/3/12,54.92
2011/3/13,54.95
2011/3/14,54.99
2011/3/15,54.99
2011/3/16,55
2011/3/17,54.98
2011/3/18,54.91
2011/3/19,54.91
2011/3/20,54.92
2011/3/21,54.85
2011/3/22,54.84
2011/3/23,54.72
2011/3/24,54.58
2011/3/25,54.57
2011/3/26,55.11
2011/3/27,55.19
2011/3/28,55.27
2011/3/29,55.02
2011/3/30,54.88
2011/3/31,54.36
2011/4/1,54.29
2011/4/2,53.99
2011/4/3,53.97
2011/4/4,53.83
2011/4/5,53.82
2011/4/6,54.32
2011/4/7,54.4
2011/4/8,53.96
2011/4/9,53.93
2011/4/10,53.93
2011/4/11,53.75
