date, price
2016/7/31,24.46
2016/8/1,24.48
2016/8/2,24.51
2016/8/3,24.46
2016/8/4,24.48
2016/8/5,24.5
2016/8/6,24.51
2016/8/7,24.52
2016/8/8,24.52
2016/8/9,24.5
2016/8/10,24.51
2016/8/11,24.52
2016/8/12,24.51
2016/8/13,24.52
2016/8/14,24.49
2016/8/15,24.48
2016/8/16,24.48
2016/8/17,24.48
2016/8/18,24.48
2016/8/19,24.49
2016/8/20,24.5
2016/8/21,24.51
2016/8/22,24.6
2016/8/23,24.64
2016/8/24,24.7
2016/8/25,24.74
2016/8/26,24.64
2016/8/27,24.64
2016/8/28,24.66
2016/8/29,24.59
2016/8/30,24.6
2016/8/31,24.65
2016/9/1,24.64
2016/9/2,24.64
2016/9/3,24.64
2016/9/4,24.63
2016/9/5,24.64
2016/9/6,24.69
2016/9/7,24.69
2016/9/8,24.73
2016/9/9,24.73
2016/9/10,24.74
2016/9/11,24.73
2016/9/12,24.64
2016/9/13,24.64
2016/9/14,24.68
2016/9/15,24.69
2016/9/16,24.72
2016/9/17,24.74
2016/9/18,24.74
2016/9/19,24.76
2016/9/20,24.74
2016/9/21,24.77
2016/9/22,24.76
2016/9/23,24.78
2016/9/24,24.82
2016/9/25,24.87
2016/9/26,24.93
2016/9/27,24.97
2016/9/28,24.93
2016/9/29,24.96
2016/9/30,25.18
2016/10/1,25.24
2016/10/2,25.29
2016/10/3,25.38
2016/10/4,25.29
2016/10/5,25.29
2016/10/6,25.33
2016/10/7,25.3
2016/10/8,25.21
2016/10/9,25.2
2016/10/10,25.22
2016/10/11,25.21
2016/10/12,25.18
2016/10/13,25.15
2016/10/14,25.13
2016/10/15,25.14
2016/10/16,25.16
2016/10/17,25.24
2016/10/18,25.33
2016/10/19,25.34
2016/10/20,25.34
2016/10/21,25.23
2016/10/22,25.21
2016/10/23,25.12
2016/10/24,25.12
2016/10/25,25.18
2016/10/26,25.17
2016/10/27,25.09
2016/10/28,25.18
2016/10/29,25.19
2016/10/30,25.19
2016/10/31,25.17
2016/11/1,25.17
2016/11/2,25.26
2016/11/3,25.31
2016/11/4,25.3
2016/11/5,25.36
2016/11/6,25.34
2016/11/7,25.34
2016/11/8,25.31
2016/11/9,25.38
2016/11/10,25.51
2016/11/11,25.53
2016/11/12,25.49
2016/11/13,25.38
2016/11/14,25.45
2016/11/15,25.45
2016/11/16,25.39
2016/11/17,25.43
2016/11/18,25.38
2016/11/19,25.35
2016/11/20,25.38
2016/11/21,25.42
2016/11/22,25.42
2016/11/23,25.42
2016/11/24,25.45
2016/11/25,25.48
2016/11/26,25.49
2016/11/27,25.53
2016/11/28,25.42
2016/11/29,25.4
2016/11/30,25.45
2016/12/1,25.33
2016/12/2,25.28
2016/12/3,25.28
2016/12/4,25.23
2016/12/5,25.08
2016/12/6,25.16
2016/12/7,25.13
2016/12/8,25.26
2016/12/9,25.23
2016/12/10,25.23
2016/12/11,25.23
2016/12/12,25.26
2016/12/13,25.27
2016/12/14,25.27
2016/12/15,25.27
2016/12/16,25.22
2016/12/17,25.24
2016/12/18,25.27
2016/12/19,25.27
2016/12/20,25.17
2016/12/21,24.98
2016/12/22,25.01
2016/12/23,25.02
2016/12/24,24.98
2016/12/25,24.99
2016/12/26,24.91
2016/12/27,24.89
2016/12/28,24.92
2016/12/29,24.92
2016/12/30,24.89
2016/12/31,24.89
2017/1/1,25.03
2017/1/2,25.06
2017/1/3,25.17
2017/1/4,25.03
2017/1/5,25.09
2017/1/6,25.05
2017/1/7,25.07
2017/1/8,25.29
2017/1/9,25.3
2017/1/10,25.3
2017/1/11,25.2
2017/1/12,25.19
2017/1/13,25.17
2017/1/14,25.17
2017/1/15,25.13
2017/1/16,25.18
2017/1/17,25.18
2017/1/18,25.13
2017/1/19,25.13
2017/1/20,25.17
2017/1/21,25.18
2017/1/22,25.18
2017/1/23,25.19
2017/1/24,25.19
2017/1/25,25.19
2017/1/26,25.22
2017/1/27,25.23
2017/1/28,25.17
2017/1/29,25.13
2017/1/30,25.13
2017/1/31,25.13
2017/2/1,25.05
2017/2/2,25
2017/2/3,25.01
2017/2/4,25.13
2017/2/5,25.13
2017/2/6,25.13
2017/2/7,25.15
2017/2/8,25.15
2017/2/9,25.15
2017/2/10,25.15
2017/2/11,25.16
2017/2/12,25.09
2017/2/13,25.04
2017/2/14,24.99
2017/2/15,24.99
2017/2/16,24.98
2017/2/17,24.93
2017/2/18,24.99
2017/2/19,24.98
2017/2/20,24.98
2017/2/21,25.01
2017/2/22,24.98
2017/2/23,24.98
2017/2/24,24.98
2017/2/25,24.99
2017/2/26,24.98
2017/2/27,24.95
2017/2/28,24.98
2017/3/1,24.99
2017/3/2,24.99
2017/3/3,24.99
2017/3/4,24.81
2017/3/5,24.65
2017/3/6,24.59
2017/3/7,24.61
2017/3/8,25.21
2017/3/9,25.29
2017/3/10,25.28
2017/3/11,25.3
2017/3/12,25.34
2017/3/13,25.43
2017/3/14,25.51
2017/3/15,25.4
2017/3/16,25.31
2017/3/17,25.33
2017/3/18,25.41
2017/3/19,25.44
2017/3/20,25.42
2017/3/21,25.29
2017/3/22,25.37
2017/3/23,25.34
2017/3/24,25.35
2017/3/25,25.43
2017/3/26,25.48
2017/3/27,25.53
2017/3/28,25.59
2017/3/29,25.81
2017/3/30,25.95
2017/3/31,26.13
2017/4/1,26.14
2017/4/2,25.82
2017/4/3,25.83
2017/4/4,25.89
2017/4/5,25.91
2017/4/6,25.88
2017/4/7,25.89
2017/4/8,26.03
2017/4/9,26.13
2017/4/10,26.25
2017/4/11,26.31
2017/4/12,26.28
2017/4/13,26.34
2017/4/14,26.3
2017/4/15,26.4
2017/4/16,26.35
2017/4/17,26.36
2017/4/18,26.41
2017/4/19,26.44
2017/4/20,26.73
2017/4/21,26.54
2017/4/22,26.68
2017/4/23,26.78
2017/4/24,26.87
2017/4/25,26.93
2017/4/26,27.11
2017/4/27,27.18
2017/4/28,27.21
2017/4/29,27.19
2017/4/30,27.26
2017/5/1,27.31
2017/5/2,27.19
2017/5/3,27.09
2017/5/4,26.98
2017/5/5,26.98
2017/5/6,26.82
2017/5/7,26.88
2017/5/8,26.9
2017/5/9,26.98
2017/5/10,26.84
2017/5/11,26.74
2017/5/12,26.9
2017/5/13,26.91
2017/5/14,26.91
2017/5/15,26.96
2017/5/16,26.86
2017/5/17,26.91
2017/5/18,26.88
2017/5/19,26.88
2017/5/20,26.81
2017/5/21,26.64
2017/5/22,26.68
2017/5/23,26.73
2017/5/24,26.68
2017/5/25,26.68
2017/5/26,26.74
2017/5/27,26.83
2017/5/28,26.94
2017/5/29,27.03
2017/5/30,27
2017/5/31,26.98
2017/6/1,26.98
2017/6/2,27.04
2017/6/3,27.05
2017/6/4,26.99
2017/6/5,26.81
2017/6/6,26.74
2017/6/7,26.9
2017/6/8,26.91
2017/6/9,26.91
2017/6/10,26.96
2017/6/11,26.99
2017/6/12,27.03
2017/6/13,27.03
2017/6/14,27.03
2017/6/15,27.01
2017/6/16,27.01
2017/6/17,27.11
2017/6/18,27.1
2017/6/19,27.06
2017/6/20,26.84
2017/6/21,26.9
2017/6/22,26.89
2017/6/23,26.84
2017/6/24,26.88
2017/6/25,26.88
2017/6/26,26.91
2017/6/27,26.94
2017/6/28,26.91
2017/6/29,26.93
2017/6/30,26.93
2017/7/1,26.94
2017/7/2,26.93
2017/7/3,26.96
2017/7/4,27.03
2017/7/5,27.03
2017/7/6,27.03
2017/7/7,26.98
2017/7/8,26.94
2017/7/9,26.98
2017/7/10,26.95
2017/7/11,26.98
2017/7/12,26.94
2017/7/13,26.94
2017/7/14,26.96
2017/7/15,26.73
2017/7/16,26.68
2017/7/17,26.55
2017/7/18,26.38
2017/7/19,26.42
2017/7/20,26.43
2017/7/21,26.48
2017/7/22,26.48
2017/7/23,26.43
2017/7/24,26.46
2017/7/25,26.48
2017/7/26,26.5
2017/7/27,26.48
2017/7/28,26.3
2017/7/29,26.3
2017/7/30,26.3
2017/7/31,26.3
2017/8/1,26.31
2017/8/2,26.33
2017/8/3,26.32
2017/8/4,26.32
2017/8/5,26.36
2017/8/6,26.4
2017/8/7,26.41
2017/8/8,26.48
2017/8/9,26.5
2017/8/10,26.48
2017/8/11,26.48
2017/8/12,26.5
2017/8/13,26.49
2017/8/14,26.52
2017/8/15,26.52
2017/8/16,26.49
2017/8/17,26.49
2017/8/18,26.55
2017/8/19,26.64
2017/8/20,26.65
2017/8/21,26.63
2017/8/22,26.64
2017/8/23,26.61
2017/8/24,26.61
2017/8/25,26.61
2017/8/26,26.61
2017/8/27,26.61
2017/8/28,26.62
2017/8/29,26.58
2017/8/30,26.58
2017/8/31,26.59
2017/9/1,26.6
2017/9/2,26.61
2017/9/3,26.58
2017/9/4,26.62
2017/9/5,26.66
2017/9/6,26.69
2017/9/7,26.77
2017/9/8,26.82
2017/9/9,26.86
2017/9/10,26.91
2017/9/11,26.93
2017/9/12,26.91
2017/9/13,26.83
2017/9/14,26.85
2017/9/15,26.89
2017/9/16,26.9
2017/9/17,26.88
2017/9/18,26.88
2017/9/19,26.94
2017/9/20,26.88
2017/9/21,26.88
2017/9/22,26.89
2017/9/23,26.92
2017/9/24,26.92
2017/9/25,26.88
2017/9/26,26.88
2017/9/27,26.78
2017/9/28,26.78
2017/9/29,26.9
2017/9/30,26.83
2017/10/1,26.86
2017/10/2,26.89
2017/10/3,26.93
2017/10/4,26.88
2017/10/5,26.88
2017/10/6,26.95
2017/10/7,27.03
2017/10/8,27.03
2017/10/9,27.07
2017/10/10,27
2017/10/11,26.89
2017/10/12,26.89
2017/10/13,26.96
2017/10/14,26.89
2017/10/15,26.97
2017/10/16,26.91
2017/10/17,26.93
2017/10/18,26.96
2017/10/19,26.97
2017/10/20,26.97
2017/10/21,26.99
2017/10/22,26.98
2017/10/23,26.99
2017/10/24,27.02
2017/10/25,26.99
2017/10/26,27
2017/10/27,27
2017/10/28,26.93
2017/10/29,26.96
2017/10/30,26.97
2017/10/31,26.97
2017/11/1,26.93
2017/11/2,26.97
2017/11/3,27.01
2017/11/4,26.99
2017/11/5,26.99
2017/11/6,27
2017/11/7,27
2017/11/8,27
2017/11/9,27.02
2017/11/10,27.03
2017/11/11,27
2017/11/12,27.03
2017/11/13,27.03
2017/11/14,27.03
2017/11/15,27.03
2017/11/16,27.04
2017/11/17,27.09
2017/11/18,27.04
2017/11/19,27.1
2017/11/20,27.05
2017/11/21,27.11
2017/11/22,27.12
2017/11/23,27.07
2017/11/24,27.08
2017/11/25,27.05
2017/11/26,27.05
2017/11/27,27.09
2017/11/28,27.09
2017/11/29,27.12
2017/11/30,27.22
2017/12/1,27.25
2017/12/2,27.28
2017/12/3,27.33
2017/12/4,27.28
2017/12/5,27.19
2017/12/6,27.24
2017/12/7,27.22
2017/12/8,27.25
2017/12/9,27.28
2017/12/10,27.28
2017/12/11,27.3
2017/12/12,27.25
2017/12/13,26.92
2017/12/14,26.92
2017/12/15,26.73
2017/12/16,26.7
2017/12/17,26.72
2017/12/18,26.61
2017/12/19,26.72
2017/12/20,26.63
2017/12/21,26.68
2017/12/22,26.69
2017/12/23,26.75
2017/12/24,26.78
2017/12/25,26.81
2017/12/26,26.83
2017/12/27,26.69
2017/12/28,26.69
2017/12/29,26.68
2017/12/30,26.68
2017/12/31,26.7
2018/1/1,26.58
2018/1/2,26.53
2018/1/3,26.53
2018/1/4,26.57
2018/1/5,26.58
2018/1/6,26.6
2018/1/7,26.53
2018/1/8,26.49
2018/1/9,26.49
2018/1/10,26.53
2018/1/11,26.5
2018/1/12,26.5
2018/1/13,26.53
2018/1/14,26.52
2018/1/15,26.54
2018/1/16,26.56
2018/1/17,26.56
2018/1/18,26.58
2018/1/19,26.62
2018/1/20,26.62
2018/1/21,26.64
2018/1/22,26.61
2018/1/23,26.64
2018/1/24,26.63
2018/1/25,26.63
2018/1/26,26.58
2018/1/27,26.43
2018/1/28,26.43
2018/1/29,26.33
2018/1/30,26.3
2018/1/31,26.23
2018/2/1,26.26
2018/2/2,26.24
2018/2/3,26.29
2018/2/4,26.3
2018/2/5,26.36
2018/2/6,26.37
2018/2/7,26.33
2018/2/8,26.33
2018/2/9,26.39
2018/2/10,26.41
2018/2/11,26.37
2018/2/12,26.41
2018/2/13,26.38
2018/2/14,26.42
2018/2/15,26.45
2018/2/16,26.45
2018/2/17,26.42
2018/2/18,26.44
2018/2/19,26.48
2018/2/20,26.41
2018/2/21,26.38
2018/2/22,26.38
2018/2/23,26.39
2018/2/24,26.4
2018/2/25,26.42
2018/2/26,26.51
2018/2/27,26.53
2018/2/28,26.57
2018/3/1,26.55
2018/3/2,26.47
2018/3/3,26.45
2018/3/4,26.45
2018/3/5,26.47
2018/3/6,26.46
2018/3/7,26.46
2018/3/8,26.47
2018/3/9,26.46
2018/3/10,26.46
2018/3/11,26.42
2018/3/12,26.42
2018/3/13,26.42
2018/3/14,26.46
2018/3/15,26.47
